"V_cathode, V","V_anode, mV",omega,omega
0.08,0.1,0.01,0.1
0.42,0,,
0.78,0,,
1.22,0.1,,
1.6,0.8,,
1.81,6.5,,
1.9,15.2,,
2,28.4,,
2.09,43.3,,
2.14,52,,
2.21,60.4,,
2.25,64.6,,
2.31,68.9,,
2.33,69.5,,
2.34,70.1,,
2.37,70.7,,
2.4,71.1,,
2.43,71.4,,
2.46,71.6,,
2.49,70.8,,
2.53,70.1,,
2.58,67.6,,
2.6,66.8,,
2.66,64.3,,
2.71,62.7,,
2.75,60.7,,
2.8,59.2,,
3.2,49.3,,
3.57,44.6,,
4.01,41.3,,
4.4,39.1,,
4.81,37.2,,
5.17,35.7,,
5.61,34.2,,
6.02,33.3,,
6.42,32.7,,
6.83,32.2,,
7.24,32.1,,
7.66,32.3,,
8.05,32.8,,
8.42,33.7,,
8.81,35.5,,
9.22,36.9,,
9.62,37.3,,
10.03,38.8,,
10.44,42.2,,
