01.01.2007   N1106
Образец: "20c"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1580     425     168
    839    1412     427     101
    844    1412     430     101
    849    1479     432    67,2
    854    1513     435    67,2
    859    1580     437    67,2
    864    1614     440    67,2
    869    1614     442    67,2
    874    1580     445    67,2
    879    1580     447    67,2
    884    1580     450    67,2
    889    1580     452    67,2
    894    1580     455    67,2
    899    1647     457    67,2
    904    1681     460    67,2
    909    1647     462    67,2
    914    1681     465    67,2
    919    1614     467    67,2
    924    1614     469     101
    929    1715     472     101
    934    1916     474     134
    939    2084     477     134
    944    2152     479     134
    949    2118     482     134
    954    2017     484     168
    959    1950     487     168
    964    1916     489     168
    969    1883     492     168
    974    1849     494     202
    979    1748     497     202
    984    1782     499     168
    989    1916     502     168
    994    1983     504     134
    999    2084     507     134
   1004    2017     509     134
   1009    1983     511     101
   1014    1950     514     101
   1019    1950     516     101
   1024    1883     519     101
   1029    1950     521     101
   1034    2084     524    67,2
   1039    1950     526    33,6
   1044    1513     529    33,6
   1049     975     531    33,6
   1054     572     534    33,6
   1059     639     536    33,6
   1064     773     538    33,6
   1069     975     541    67,2
   1074    1042     543    67,2
   1079    1009     546    67,2
   1084     975     548    33,6
   1089     840     551    33,6
   1094    1177     553    33,6
   1099    1580     556    67,2
   1104    2017     558     101
   1109    2252     561     134
   1114    2118     563     168
   1119    1983     566     134
   1124    1815     568     134
   1129    1815     571     101
   1134    1782     573     101
   1139    1580     576     101
   1144    1748     578     101
   1149    1782     581     101
   1154    1782     583     101
   1159    1815     586     101
   1164    1681     588    67,2
   1169    1614     591    67,2
   1174    1412     593    67,2
   1179    1244     596     101
   1184    1311     598     101
   1189    1513     601     101
   1194    1580     603     101
   1199    1479     606    67,2
   1204    1311     608    67,2
   1209     941     610    67,2
   1214     874     613    67,2
   1219     941     615    67,2
   1224    1109     618    67,2
   1229    1513     620    67,2
   1234    1647     623    67,2
   1239    1378     625    67,2
   1244     908     628    33,6
   1249     672     630    33,6
   1254     605     633    33,6
   1259     538     635     0,0
   1264     840     638     0,0
   1269    1311     640    33,6
   1274    2185     643    33,6
