01.01.2007   N1106
Образец: "Au"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    4339     425     168
    839    3397     427     135
    844    3195     430     101
    849    3128     432    67,3
    854    3330     435    67,3
    859    3801     437    67,3
    864    4171     440    67,3
    869    4406     442     101
    874    4877     445     101
    879    5382     447     101
    884    5718     450     101
    889    6155     452     101
    894    6559     455     101
    899    6929     457     135
    904    7601     460     135
    909    8846     462     135
    914    9990     465     135
    919   11066     467     135
    924   11100     469     168
    929   10259     472     202
    934    9014     474     235
    939    7601     477     235
    944    6189     479     235
    949    5112     482     269
    954    4473     484     235
    959    3599     487     235
    964    2994     489     235
    969    2590     492     168
    974    2119     494     168
    979    2119     497     202
    984    2254     499     202
    989    2624     502     202
    994    2994     504     202
    999    3263     507     202
   1004    3229     509     202
   1009    3128     511     202
   1014    3464     514     168
   1019    4305     516     168
   1024    5684     519     168
   1029    7803     521     168
   1034   10023     524     168
   1039    9956     526     202
   1044    9552     529     202
   1049    8207     531     235
   1054    6256     534     404
   1059   10595     536     538
   1064   25562     538     673
   1069   46954     541     875
   1074   65992     543    1043
   1079   73189     546    1144
   1084   69355     548    1144
   1089   57919     551     975
   1094   44768     553     774
   1099   31583     556     639
   1104   19575     558     471
   1109   12176     561     336
   1114    8308     563     336
   1119    6492     566     303
   1124    4574     568     303
   1129    2825     571     269
   1134    2052     573     202
   1139    1951     576     168
   1144    2354     578     202
   1149    2657     581     235
   1154    2657     583     235
   1159    2556     586     235
   1164    2186     588     235
   1169    1614     591     202
   1174    1446     593     202
   1179    1581     596     202
   1184    2254     598     269
   1189    2859     601     336
   1194    3094     603     303
   1199    2624     606     303
   1204    1850     608     202
   1209    1244     610     101
   1214    1211     613     101
   1219    1043     615    67,3
   1224    1110     618     101
   1229    1614     620     101
   1234    2119     623     101
   1239    2254     625    67,3
   1244    1984     628    67,3
   1249    2186     630     0,0
   1254    5314     633     101
   1259   12378     635     437
   1264   31415     638     908
   1269   54320     640    1244
   1274   70835     643    1547
   1279   63435     645    1413
   1284   41909     648     975
   1289   20147     650     572
   1294   10360     652     235
   1299    5415     655    67,3
   1304    3498     657     101
   1309    2523     660     101
   1314    1850     662     135
   1319    1278     665     135
