01.01.2007   N1106
Образец: "Lu"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1613     425     101
    839    1680     427     101
    844    1713     430     101
    849    1680     432     101
    854    1747     435     101
    859    1713     437     101
    864    1713     440     101
    869    1646     442     101
    874    1613     445    67,2
    879    1411     447    67,2
    884    1445     450    67,2
    889    1445     452    67,2
    894    1445     455    67,2
    899    1579     457    67,2
    904    1579     460    67,2
    909    1646     462     101
    914    1713     465     101
    919    1881     467     134
    924    1814     469     134
    929    1713     472     134
    934    1579     474     134
    939    1411     477     134
    944    1445     479     134
    949    1613     482     134
    954    1680     484     134
    959    1579     487     134
    964    1377     489     134
    969    1243     492     134
    974    1277     494     134
    979    1377     497     134
    984    1478     499     101
    989    1512     502     134
    994    1445     504     134
    999    1411     507     134
   1004    1377     509     134
   1009    1142     511     101
   1014    1109     514    67,2
   1019    1042     516     101
   1024    1109     519     101
   1029    1176     521     101
   1034    1243     524    67,2
   1039    1176     526     101
   1044     974     529     101
   1049     638     531    67,2
   1054     538     534    67,2
   1059     504     536     101
   1064     739     538     134
   1069     974     541     168
   1074    1042     543     168
   1079     941     546     168
   1084     706     548     168
   1089     538     551     134
   1094     470     553     101
   1099     538     556     134
   1104     638     558     168
   1109     806     561     168
   1114     907     563     168
   1119     840     566     168
   1124     874     568     134
   1129     907     571     101
   1134    1109     573    67,2
   1139    1209     576    67,2
   1144    1344     578    67,2
   1149    1680     581    67,2
   1154    1982     583     101
   1159    2217     586     101
   1164    2217     588     134
   1169    2150     591     134
   1174    2385     593     134
   1179    2621     596     134
   1184    3125     598     134
   1189    3494     601     134
   1194    3628     603     134
   1199    3460     606     168
   1204    3158     608     168
   1209    3293     610     168
   1214    4065     613     134
   1219    4737     615     101
   1224    5879     618     101
   1229    5812     620    67,2
   1234    4233     623    67,2
   1239    2016     625    33,6
   1244     941     628    33,6
   1249     638     630     0,0
   1254     739     633    33,6
   1259     605     635    67,2
   1264     706     638    67,2
   1269    1042     640     101
   1274    1310     643    67,2
   1279    1075     645    33,6
   1284     739     648    33,6
   1289     538     650    33,6
   1294     739     652    67,2
   1299     974     655    67,2
   1304     907     657     101
   1309     806     660     101
   1314     773     662     101
   1319     806     665    67,2
   1324    1042     667    67,2
   1329    1243     670    67,2
   1334    1646     672    67,2
   1339    2352     675    67,2
   1344    3393     677    67,2
   1349    6316     680     101
   1350    5936     680    93,0
   1351    6848     681    96,0
   1352    7761     681    96,0
   1353    9113     682    95,0
   1354   10540     682     114
   1355   11953     683     111
   1356   13336     683    97,0
   1357   14900     684    96,0
   1358   16571     684     104
   1359   17840     685     157
   1360   19255     685     157
   1361   20463     686     132
   1362   21944     686     168
   1363   22635     687     174
   1364   23408     687     200
   1365   24063     688     173
   1366   24303     688     176
   1367   24386     689     192
   1368   24937     689     195
   1369   24833     690     176
   1370   24816     690     185
   1371   24402     691     192
   1372   23697     691     156
   1373   23113     692     161
   1374   22314     692     154
   1375   21229     693     174
   1376   19963     693     160
   1377   19308     694     169
   1378   17507     694     133
   1379   16300     695     129
   1380   14781     695     113
   1381   13646     696     122
   1382   12671     696     117
   1383   11437     696     101
   1384   10827     697    97,0
   1385   10088     698    92,0
   1386    9760     698    93,0
   1387    9731     699     113
   1388   10045     699     102
   1389   10479     700     117
   1390   10758     700    87,0
   1391   11471     701     103
   1392   11997     701     114
   1393   12725     702    89,0
   1394   13280     702     119
   1395   13835     703     119
   1396   14566     703     122
   1397   15147     703     111
   1398   15513     704     130
   1399   16299     704     126
   1400   16921     705     154
   1401   17695     705     131
   1402   18696     706     137
   1403   19799     706     142
   1404   21057     707     140
   1405   23186     707     150
   1406   25430     708     174
   1407   28614     708     215
   1408   32144     709     251
   1409   35571     709     324
   1410   38871     710     345
   1411   42389     710     440
   1412   46013     711     475
   1413   49422     711     508
   1414   52380     712     558
   1415   55374     712     599
   1416   57459     713     703
   1417   60012     713     676
   1418   61850     714     732
   1419   62831     714     761
   1420   64106     715     807
   1421   63997     715     739
   1422   63830     716     796
   1423   64241     716     749
   1424   63188     717     748
   1425   62164     717     686
   1426   60385     718     708
   1427   58798     718     633
   1428   55783     719     632
   1429   52851     719     589
   1430   49977     720     495
   1431   46177     720     405
   1432   42040     721     371
   1433   38163     721     311
   1434   34147     722     273
   1435   30024     722     237
   1436   26726     723     214
   1437   22692     723     162
   1438   19569     724     129
   1439   16958     724     134
   1440   15073     725     108
   1441   13203     725     114
   1442   12026     726    98,0
   1443   10877     726    89,0
   1444    9829     727     103
   1445    9099     727    97,0
   1446    8302     728    87,0
   1447    7527     728    81,0
   1448    6639     729    79,0
   1449    5922     729    86,0
   1450    5223     730    76,0
   1454    2621     732    67,2
   1459    1512     734    67,2
   1464    1512     737     134
   1469    1613     739     168
   1474    1646     742     202
   1479    1478     744     134
   1484    1209     747    67,2
   1489     941     749    33,6
   1494     806     752    67,2
   1499     874     754    67,2
   1504     773     757     101
   1509     706     759     101
   1514     538     761    67,2
   1519     739     764    33,6
   1524    1075     766    33,6
   1529    1646     769    67,2
   1534    2117     771     101
   1539    2553     774     101
   1544    2285     776     101
   1549    1713     779    67,2
   1554    1209     781    67,2
   1559    1075     784    67,2
   1564    1478     786    33,6
   1569    1781     789    67,2
   1574    1949     791     101
   1579    1881     794     101
   1584    1545     796     101
   1589    1445     799    67,2
   1594    2217     801    33,6
   1599    6887     804    33,6
   1600    5230     804    58,0
   1601    6706     805    50,0
   1602    9101     805    65,0
   1603   12348     806    75,0
   1604   16201     806     103
   1605   21040     807     131
   1606   26184     807     192
   1607   31537     808     229
   1608   36310     808     307
   1609   41542     809     372
   1610   46337     809     446
   1611   50689     810     490
   1612   54377     810     561
   1613   57827     811     638
   1614   60245     811     693
   1615   62587     812     705
   1616   63321     812     771
   1617   64361     812     761
   1618   65047     813     773
   1619   64279     813     793
   1620   63458     814     745
   1621   61648     814     730
   1622   59821     815     660
   1623   56916     815     578
   1624   53373     816     531
   1625   49960     816     433
   1626   45757     817     463
   1627   40887     817     348
   1628   35859     818     275
   1629   31196     818     205
   1630   26310     819     173
   1631   22237     819     140
   1632   18114     820     118
   1633   14984     820    97,0
   1634   12601     821    63,0
   1635   10663     821    76,0
   1636    8887     822    74,0
   1637    7532     822    55,0
   1638    6236     823    66,0
   1639    5265     823    63,0
   1640    4478     824    59,0
   1641    3624     824    72,0
   1642    2970     825    61,0
   1643    2401     825    63,0
   1644    1912     826    65,0
   1645    1614     826    56,0
   1646    1468     827    43,0
   1647    1285     827    61,0
   1648    1068     828    66,0
   1649    1011     828    56,0
   1650     994     829    74,0
   1654     773     831    33,6
   1659     605     833    33,6
   1664     638     836    67,2
   1669     403     838    67,2
   1674     504     841    67,2
   1679     571     843    33,6
   1684     302     846    33,6
   1689     403     848    33,6
   1694     403     851    67,2
   1699     336     853    67,2
   1704     403     856    33,6
   1709     403     858    67,2
   1714     370     861    67,2
   1719     269     863    67,2
   1724     403     866    67,2
   1729     470     868    33,6
   1734     538     870    67,2
   1739     336     873    67,2
   1744     403     875    67,2
   1749     470     878    67,2
   1754     336     880    33,6
   1759     370     883    67,2
   1764     336     885     101
   1769     302     888    67,2
   1774     403     890    33,6
   1779     370     893    67,2
   1784     370     895    33,6
   1789     336     898     0,0
   1794     235     900     0,0
   1799     202     903     0,0
   1804     302     905     0,0
   1809     370     908    33,6
   1814     437     910     0,0
   1819     571     913    67,2
   1824    1109     915    67,2
   1829    1915     918    33,6
   1834    1747     920     0,0
   1839    1243     923    33,6
   1844     874     925    67,2
   1849     336     928     0,0
   1854     302     930    33,6
   1859     202     933    33,6
   1864     202     935    33,6
   1869     202     937     0,0
   1874     202     940    33,6
   1879     202     942    33,6
   1884     168     945    33,6
   1889     168     947    33,6
   1894     168     950    33,6
   1899     202     952     0,0
   1904     168     955     0,0
   1909     101     957     0,0
   1914     134     960     0,0
   1919     235     962    33,6
   1924     336     965    67,2
   1929     403     967    33,6
   1934     806     970    33,6
   1939     638     972    33,6
   1944     470     975    33,6
   1949     168     977    33,6
   1954     168     980    33,6
   1959     202     982    33,6
   1964     134     985     0,0
   1969     134     987     0,0
   1974    33,6     990    33,6
   1979     168     992     0,0
   1984     101     995    33,6
   1989    67,2     997    33,6
   1994    67,2    1000    67,2
   1999     269    1002    33,6
   2004     134    1005    33,6
   2009    33,6    1007    33,6
   2014    67,2    1010     0,0
   2019     101    1012    33,6
   2024    67,2    1015    33,6
   2029    33,6    1017     0,0
   2034     168    1020    33,6
   2039     134    1022     0,0
   2044     101    1025    33,6
   2049     168    1027    33,6
   2054     101    1030     0,0
   2059     101    1032     0,0
   2064     101    1034     0,0
   2069     101    1037    33,6
   2074     134    1039    67,2
   2079    67,2    1042     0,0
   2084     101    1044     0,0
   2089     101    1047    33,6
   2094    67,2    1049    33,6
   2099    67,2    1052    33,6
   2104     134    1054    33,6
   2109    67,2    1057    33,6
   2114    67,2    1059    33,6
   2119     101    1062    33,6
   2124     101    1064    33,6
   2129     134    1067    67,2
   2134     101    1069    33,6
   2139     101    1072    33,6
   2144     202    1074    33,6
   2149     101    1077     0,0
   2154     101    1079    33,6
   2159    67,2    1082     0,0
   2164     134    1084    33,6
   2169     101    1087    33,6
   2174     101    1089     0,0
   2179    67,2    1092     0,0
   2184     101    1094     0,0
   2189    33,6    1097     0,0
