01.01.2007   N1106
Образец: "Nd"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834     806     425     101
    839     806     427    67,2
    844     839     430    67,2
    849     772     432    67,2
    854     772     435    33,6
    859     839     437    33,6
    864     873     440    33,6
    869     839     442    67,2
    874     907     445    67,2
    879     873     447    67,2
    884     839     450    67,2
    889     806     452    67,2
    894     772     455    67,2
    899     739     457    33,6
    904     705     460    33,6
    909     705     462    33,6
    914     705     465    33,6
    919     772     467    33,6
    924     772     469    67,2
    929     739     472    67,2
    934     705     474    67,2
    939     772     477     101
    944     739     479     101
    949     772     482     101
    954     806     484     134
    959     873     487     134
    964     806     489     134
    969     739     492     134
    974     672     494     134
    979     672     497     101
    984     604     499     101
    989     672     502    67,2
    994     638     504    67,2
    999     537     507    67,2
   1004     571     509    33,6
   1009     604     511    33,6
   1014     571     514    33,6
   1019     571     516    33,6
   1024     537     519    33,6
   1029     436     521    33,6
   1034     436     524    67,2
   1039     369     526    33,6
   1044     336     529    33,6
   1049     269     531    33,6
   1054     235     534    33,6
   1059     201     536     0,0
   1064     168     538    33,6
   1069     134     541    33,6
   1074     168     543     101
   1079     269     546     134
   1084     403     548     134
   1089     470     551     168
   1094     537     553     134
   1099     537     556     134
   1104     537     558     134
   1109     571     561     134
   1114     571     563     168
   1119     537     566     168
   1124     504     568     101
   1129     436     571     101
   1134     436     573    67,2
   1139     504     576    67,2
   1144     504     578    67,2
   1149     537     581    67,2
   1154     504     583     101
   1159     436     586     101
   1164     403     588    67,2
   1169     403     591    67,2
   1174     436     593    67,2
   1179     436     596    67,2
   1184     470     598    67,2
   1189     369     601     101
   1194     369     603     101
   1199     302     606     101
   1204     235     608     101
   1209     101     610    67,2
   1214     101     613    33,6
   1219     134     615    33,6
   1224     235     618    33,6
   1229     336     620    33,6
   1234     403     623    33,6
   1239     336     625    33,6
   1244     201     628    33,6
   1249     134     630     0,0
   1254     101     633     0,0
   1259     134     635    33,6
   1264     201     638    33,6
   1269     235     640    67,2
   1274     302     643    67,2
   1279     269     645    67,2
   1284     269     648    67,2
   1289     235     650    33,6
   1294     235     652    33,6
   1299     201     655    33,6
   1304     201     657    33,6
   1309     235     660    33,6
   1314     302     662    33,6
   1319     269     665    33,6
   1324     235     667    67,2
   1329     269     670    67,2
   1334     269     672    67,2
   1339     168     675    67,2
   1344     101     677    67,2
   1349     134     680    67,2
   1354     235     682    33,6
   1359     235     685    33,6
   1364     201     687    33,6
   1369     168     690    33,6
   1374     168     692    33,6
   1379     201     695    33,6
   1384     235     697    33,6
   1389     168     700     0,0
   1394     168     702    33,6
   1399     201     704    33,6
   1404     235     707    33,6
   1409     235     709    67,2
   1414     201     712    67,2
   1419     201     714    67,2
   1424     201     717    67,2
   1429     269     719    33,6
   1434     235     722    33,6
   1439     269     724    33,6
   1444     235     727    33,6
   1449     201     729    33,6
   1454     134     732    33,6
   1459     101     734    67,2
   1464     168     737    33,6
   1469     201     739    33,6
   1474     168     742    33,6
   1479     168     744    33,6
   1484     168     747    33,6
   1489     168     749     0,0
   1494     134     752     0,0
   1499     134     754    33,6
   1504     168     757    33,6
   1509     168     759    33,6
   1514     168     761     0,0
   1519     168     764     0,0
   1524     235     766    33,6
   1529     302     769    33,6
   1534     336     771    33,6
   1539     302     774    33,6
   1544     269     776    33,6
   1549     269     779    33,6
   1554     235     781    33,6
   1559     134     784    33,6
   1564     134     786    33,6
   1569     168     789    33,6
   1574     134     791    33,6
   1579     134     794    33,6
   1584     134     796     0,0
