01.01.2007   N1106
Образец: "25.10.18\Pb_draft"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834   19311     425     135
    839   17797     427     135
    844   15913     430     101
    849   13323     432     101
    854   10564     435     101
    859    7973     437     101
    864    5652     440    67,3
    869    3970     442    67,3
    874    3162     445     101
    879    2826     447    67,3
    884    2591     450    67,3
    889    2321     452    67,3
    894    2220     455    67,3
    899    2422     457    67,3
    904    2893     460     101
    909    3869     462     101
    914    5450     465     135
    919    7368     467     135
    924    9757     469     135
    929   12717     472     135
    934   16788     474     168
    939   22810     477     202
    944   30784     479     269
    949   42592     482     471
    954   58640     484     774
    959   78120     487    1312
    964   96960     489    2052
    969  112200     492    2826
    974  124211     494    3364
    979  132622     497    3533
    984  134607     499    3364
    989  125321     502    2927
    994  103184     504    2120
    999   74957     507    1278
   1004   45620     509     639
   1009   26847     511     236
   1014   15610     514     135
   1019   11775     516    33,6
   1024    9151     519    67,3
   1029    7267     521     135
   1034    6056     524     135
   1039    4744     526     135
   1044    3970     529     135
   1049    3633     531     135
   1054    3297     534     101
   1059    3297     536     101
   1064    3297     538     101
   1069    3499     541     101
   1074    4037     543     101
   1079    4643     546     101
   1084    5282     548     101
   1089    5618     551     135
   1094    5551     553     168
   1099    5013     556     168
   1104    4508     558     168
   1109    3970     561     168
   1114    3701     563     168
   1119    3903     566     168
   1124    4239     568     168
   1129    5080     571     135
   1134    7334     573     101
   1139   11102     576     101
   1144   19950     578     269
   1149   36200     581     639
   1154   56992     583    1178
   1159   71189     586    1615
   1164   73948     588    2052
   1169   67657     591    2523
   1174   67286     593    2557
   1179   71593     596    2288
   1184   75596     598    1951
   1189   62879     601    1312
   1194   41650     603     707
   1199   16317     606     236
   1204    4441     608     0,0
   1209     673     610    33,6
   1214     639     613    67,3
   1219    1211     615    67,3
   1224    1548     618    67,3
   1229    1918     620    67,3
   1234    1985     623    67,3
   1239    1749     625    67,3
   1244    1514     628    67,3
   1249    1077     630    67,3
   1254     673     633    67,3
   1259     807     635    67,3
   1264     976     638    67,3
   1269    1178     640    67,3
   1274    1379     643    67,3
   1279    1312     645     101
   1284    1144     648     101
   1289     740     650     101
   1294     606     652    67,3
   1299     538     655    67,3
   1304     807     657    67,3
   1309    1245     660    33,6
   1314    1615     662    33,6
   1319    1480     665    67,3
   1324    1110     667    67,3
   1329    1144     670    67,3
   1334    1951     672    67,3
   1339    3566     675    67,3
   1344    5551     677    67,3
   1349    7132     680    67,3
   1354    6729     682    67,3
   1359    4542     685    67,3
   1364    2052     687    33,6
   1369     841     690     0,0
   1374     841     692    33,6
   1379     942     695    67,3
   1384    1077     697     101
   1389    1278     700     101
   1394    1447     702     101
   1399    1312     704    67,3
   1404    1077     707    33,6
   1409     841     709    67,3
   1414     707     712    33,6
   1419     707     714    67,3
   1424     908     717     101
   1429    1077     719    67,3
   1434    1009     722     101
   1439     908     724    67,3
   1444     807     727    67,3
   1449     807     729    67,3
   1454     740     732    67,3
   1459     740     734    67,3
   1464     807     737    67,3
   1469     908     739    33,6
   1474     841     742    67,3
   1479     875     744    67,3
   1484     572     747    67,3
   1489     538     749    67,3
   1494     572     752    67,3
   1499     673     754    67,3
   1504     707     757    67,3
   1509     639     759    33,6
   1514     639     761    33,6
   1519     740     764    67,3
   1524    1009     766    67,3
   1529    1682     769     101
   1534    1884     771     101
   1539    2019     774    67,3
   1544    1951     776    33,6
   1549    1514     779    33,6
   1554    1009     781    67,3
   1559     908     784     101
   1564     774     786     101
   1569     606     789     101
   1574     572     791     101
   1579     538     794    67,3
   1584     505     796    67,3
   1589     471     799    67,3
   1594     471     801     101
   1599     606     804     135
   1604     505     806     236
   1609     404     809     303
   1614     404     811     370
   1619     471     813     370
   1624     471     816     437
   1629     572     818     437
   1634     471     821     404
   1639     437     823     404
   1644     437     826     471
   1649     538     828     538
   1654     572     831     673
   1659     606     833    1144
   1664     606     836    1379
   1669     471     838    1447
   1674     471     841    1312
   1679     437     843    1009
   1684     404     846     639
   1689     404     848     202
   1694     471     851     135
   1699     437     853     135
   1704     471     856     168
   1709     404     858     168
   1714     269     861     135
   1719     336     863     101
   1724     303     866    67,3
   1729     303     868    33,6
   1734     370     870    67,3
   1739     370     873     101
   1744     236     875     135
   1749     269     878    67,3
   1754     336     880    67,3
   1759     336     883    67,3
   1764     336     885    67,3
   1769     336     888    67,3
   1774     370     890    67,3
   1779     269     893     101
   1784     336     895     101
   1789     404     898    67,3
   1794     301     900     105
   1798     292     902    84,0
   1802     304     904    96,0
   1806     285     906     106
   1810     294     908    96,0
   1814     296     910    86,0
   1818     287     912    94,0
   1822     277     914    92,0
   1826     262     916    78,0
   1830     286     918    93,0
   1834     291     920     107
   1838     279     922     115
   1842     279     924     101
   1846     242     926     130
   1850     266     928     142
   1854     274     930     110
   1858     252     932     132
   1862     246     934     133
   1866     246     936     116
   1870     265     938     126
   1874     255     940     157
   1878     280     942     198
   1882     245     944     241
   1886     286     946     340
   1890     289     948     420
   1894     282     950     611
   1898     299     952     556
   1902     302     954     567
   1906     272     956     523
   1910     251     958     459
   1914     249     960     434
   1918     263     962     599
   1922     282     964     715
   1926     358     966     953
   1930     396     968    1181
   1934     458     970    1709
   1938     522     972    2438
   1942     617     974    3656
   1946     735     976    5291
   1950    1036     978    7698
   1954    1213     980   10602
   1958    1274     982   11667
   1963    1221     984   10528
   1967     983     986    7650
   1971     651     988    4225
   1975     401     990    1805
   1979     260     992     664
   1983     219     994     381
   1987     214     996     325
   1991     180     998     299
   1995     233    1000     354
   1999     225    1002     480
   2003     223    1004     567
   2007     209    1006     713
   2011     242    1008     657
   2015     230    1010     570
   2019     207    1012     457
   2023     196    1014     346
   2027     188    1016     308
   2031     206    1018     331
   2035     203    1020     332
   2039     196    1022     342
   2043     189    1024     272
   2047     189    1026     194
   2051     173    1028     161
   2055     192    1030     119
   2059     147    1032     113
   2063     191    1034     130
   2067     173    1036     129
   2071     169    1038     115
   2075     169    1040     105
   2079     178    1042     123
   2083     141    1044     100
   2087     174    1046     109
   2091     165    1048     118
   2095     183    1050     112
   2099     161    1052     101
   2103     183    1054    95,0
   2107     157    1056     100
   2111     125    1058    94,0
   2115     154    1060    97,0
   2119     135    1062    86,0
   2123     151    1064    99,0
   2127     142    1066     120
   2131     165    1068    99,0
   2135     140    1070     125
   2139     145    1072    92,0
   2143     138    1074     105
   2147     135    1076    95,0
   2151     166    1078     111
   2155     142    1080    84,0
   2160     155    1082     108
   2164     148    1084     137
   2168     156    1086     143
   2172     170    1088     193
   2176     134    1090     223
   2180     144    1092     240
   2184     139    1094     231
   2188     157    1096     199
   2192     137    1098     129
   2196     142    1100     103
   2200     134    1102    80,0
   2204     127    1104    69,0
   2208     139    1106    97,0
   2212     151    1108     102
   2216     134    1110    74,0
   2220     148    1112    88,0
   2224     128    1114     100
   2228     119    1116    84,0
   2232     103    1118    88,0
   2236     134    1120    64,0
   2240     135    1122    77,0
   2244     147    1124    76,0
   2248     112    1126    73,0
   2252     110    1128    90,0
   2256     131    1130    95,0
   2260     121    1132     117
   2264     122    1134    77,0
   2268     117    1136    85,0
   2272     113    1138    83,0
   2276     123    1140    90,0
   2280     133    1142    84,0
   2284     107    1144    98,0
   2288     115    1146    85,0
   2292     128    1148     102
   2296     132    1150     100
   2300     110    1152     110
   2304     118    1154     128
   2308     127    1156     129
   2312     103    1158     159
   2316     109    1160     179
   2320     120    1162     264
   2324     133    1164     384
   2328     186    1166     950
   2332     243    1168    1901
   2336     403    1170    3888
   2340     677    1172    7275
   2345     900    1174    9949
   2349     772    1176    8781
   2353     591    1178    5843
   2357     357    1180    2786
   2361     216    1182    1322
   2365     195    1184    1220
   2369     223    1186    1277
   2373     183    1188    1009
   2377     154    1190     620
   2381     117    1192     303
   2385     100    1194     138
   2389     107    1196     102
   2393     128    1198     116
   2397    79,0    1200    84,0
   2399     135    1201     135
   2404    33,6    1204     101
   2409    67,3    1206     135
   2414    67,3    1209     101
   2419    67,3    1211    33,6
   2424    67,3    1214    67,3
   2429     135    1216    67,3
   2434    33,6    1218    33,6
   2439     135    1221     101
   2444     135    1223    33,6
   2449     135    1226    67,3
   2454     0,0    1229     0,0
   2459     101    1231    67,3
   2464    67,3    1234    67,3
   2469    33,6    1236    67,3
   2474    67,3    1238     0,0
   2479    67,3    1241     135
   2484     101    1243    33,6
   2489    33,6    1246     101
   2494     0,0    1248    33,6
   2499    33,6    1251    33,6
   2504     0,0    1253    33,6
   2509    33,6    1256     202
   2514    67,3    1258     168
   2519     101    1261    67,3
   2524    33,6    1263    33,6
   2529    67,3    1266    33,6
   2534    67,3    1268    33,6
   2539     0,0    1271    33,6
   2544    33,6    1273     101
   2549     101    1276     135
   2554    67,3    1278     0,0
   2559    67,3    1281     0,0
   2564     135    1283    67,3
   2569     101    1286    67,3
   2574     0,0    1288     101
   2579    33,6    1291     0,0
   2584     135    1293    67,3
   2589    33,6    1296     0,0
   2594     101    1298     101
   2599    67,3    1301     0,0
   2604    67,3    1303     0,0
   2609     135    1306    67,3
   2614     101    1308    67,3
   2619     101    1311     0,0
   2624     135    1313     101
   2629    67,3    1316     101
   2634     101    1318    67,3
   2639    33,6    1321    33,6
   2644     0,0    1323    33,6
   2649     101    1326    67,3
   2654     101    1328    67,3
   2659    33,6    1331    33,6
   2664    33,6    1333     0,0
   2669    67,3    1336     0,0
   2674    67,3    1338     101
   2679    33,6    1340    33,6
   2684     101    1343     202
   2689     101    1345     236
   2694     0,0    1348     269
   2699     0,0    1351     168
   2704    67,3    1353     168
   2709    67,3    1356     101
   2714     202    1358     135
   2719    33,6    1360    67,3
   2724    33,6    1363     135
   2729    33,6    1365    33,6
   2734     101    1368    33,6
   2739    33,6    1370     0,0
   2744    33,6    1373    67,3
   2749    67,3    1375    67,3
   2754    67,3    1378    33,6
   2759     0,0    1380    33,6
   2764    33,6    1383    67,3
   2769     0,0    1385     0,0
   2774    33,6    1388     0,0
   2779     0,0    1390    67,3
   2784     0,0    1393    67,3
   2789     0,0    1395    33,6
   2794    33,6    1398    33,6
   2799     135    1400    67,3
