01.01.2007   N1106
Образец: "Pt"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1275     425     101
    839    1275     427    67,1
    844    1309     430    67,1
    849    1275     432    67,1
    854    1242     435    67,1
    859    1275     437    33,6
    864    1410     440    33,6
    869    1443     442    33,6
    874    1578     445    33,6
    879    1745     447    33,6
    884    1913     450    67,1
    889    2081     452    67,1
    894    2349     455    67,1
    899    2652     457    67,1
    904    3088     460    67,1
    909    3726     462     101
    914    4430     465     101
    919    5370     467     101
    924    6142     469     101
    929    6914     472     134
    934    7720     474     134
    939    8928     477     134
    944    9834     479     134
    949   10203     482     168
    954   10170     484     134
    959    8995     487     134
    964    7552     489     168
    969    5605     492     134
    974    3893     494     168
    979    2618     497     134
    984    2014     499     134
    989    1779     502     101
    994    1779     504     101
    999    1712     507     101
   1004    1477     509     101
   1009    1175     511     101
   1014    1175     514     101
   1019    1074     516     101
   1024    1141     519     101
   1029    1510     521     101
   1034    1712     524     101
   1039    1712     526     101
   1044    1645     529    67,1
   1049    1510     531    67,1
   1054    1578     534    67,1
   1059    2316     536    67,1
   1064    3994     538     101
   1069    7048     541     134
   1074   10808     543     168
   1079   13056     546     168
   1084   13761     548     235
   1089   13224     551     302
   1094   15037     553     436
   1099   21481     556     671
   1104   34772     558     940
   1109   50178     561    1108
   1114   55582     563    1141
   1119   48768     566     973
   1124   34839     568     772
   1129   24099     571     470
   1134   16111     573     269
   1139   13191     576     134
   1144    9029     578     134
   1149    7015     581     101
   1154    5236     583     101
   1159    3155     586     101
   1164    2047     588    67,1
   1169    1208     591    67,1
   1174     772     593    67,1
   1179     839     596    67,1
   1184    1007     598     101
   1189    1242     601    67,1
   1194    1343     603    67,1
   1199    1074     606    67,1
   1204     738     608    67,1
   1209     403     610    67,1
   1214     336     613    33,6
   1219     571     615     0,0
   1224    1074     618    33,6
   1229    1477     620    33,6
   1234    1544     623    33,6
   1239    1275     625    33,6
   1244    1108     628    33,6
   1249    1141     630    33,6
   1254    1074     633     0,0
   1259     839     635     0,0
   1264     873     638    33,6
   1269    1443     640    67,1
   1274    2081     643    67,1
   1279    2450     645    67,1
   1284    1913     648    67,1
   1289    7720     650    67,1
   1294   23595     652     302
   1299   48198     655     604
   1304   70048     657     973
   1309   80218     660    1208
   1314   76492     662    1108
   1319   58972     665     738
   1324   39136     667     403
   1329   18829     670     134
   1334    7820     672    33,6
   1339    3088     675    33,6
   1344    1712     677    33,6
   1349    1242     680    33,6
   1354    1007     682    33,6
   1359     772     685    33,6
   1364     638     687    33,6
   1369     604     690    67,1
   1374     671     692    67,1
   1379     705     695    67,1
   1384     638     697    67,1
   1389     705     700    67,1
   1394     839     702    67,1
   1399     806     704    67,1
   1404     671     707    67,1
   1409     604     709    67,1
   1414     604     712     101
   1419     671     714    67,1
   1424     671     717    67,1
   1429     571     719    33,6
   1434     403     722    33,6
   1439     369     724    33,6
   1444     503     727    33,6
   1449     571     729    33,6
   1454     638     732    33,6
   1459     604     734    67,1
   1464     604     737    67,1
   1469     604     739    67,1
   1474     604     742    67,1
   1479    1208     744    33,6
   1484    1880     747    67,1
   1489    2551     749    67,1
   1494    2853     752    33,6
   1499    2887     754    33,6
   1504    2316     757    33,6
   1509    1376     759    33,6
   1514     772     761    33,6
   1519     604     764     0,0
   1524     705     766    33,6
   1529     940     769    33,6
   1534    1343     771    33,6
   1539    1309     774    33,6
   1544    1108     776    33,6
   1549     839     779    33,6
   1554     671     781    33,6
   1559     369     784    33,6
   1564     302     786     0,0
   1569     403     789     0,0
   1574     369     791    33,6
   1579     269     794    33,6
   1584     269     796    33,6
   1589     269     799    33,6
   1594     336     801    33,6
   1599     403     804    67,1
   1604     302     806    33,6
   1609     235     809    33,6
   1614     302     811    33,6
   1619     302     813    33,6
   1624     235     816    67,1
   1629     269     818    67,1
   1634     336     821    33,6
   1639     269     823    33,6
   1644     269     826    33,6
   1649     302     828    33,6
   1654     235     831    67,1
   1659     235     833    67,1
   1664     235     836    67,1
   1669     201     838    33,6
   1674     201     841    33,6
   1679     168     843    33,6
   1684     235     846    33,6
   1689     235     848     0,0
   1694     201     851    33,6
   1699     201     853    33,6
   1704     235     856    33,6
   1709     201     858    33,6
   1714     235     861    33,6
