01.01.2007   N1106
Образец: "Tm"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1073     425     0,0
    839     771     427    33,5
    844     771     430    33,5
    849     771     432    67,1
    854     738     435    67,1
    859     738     437    67,1
    864     771     440    67,1
    869     738     442    67,1
    874     805     445    67,1
    879     838     447    67,1
    884     838     450    33,5
    889     838     452    67,1
    894     872     455    67,1
    899     872     457    67,1
    904     872     460    33,5
    909     838     462    33,5
    914     805     465    33,5
    919     771     467    33,5
    924     738     469    67,1
    929     771     472    33,5
    934     738     474    67,1
    939     738     477    67,1
    944     805     479     101
    949     905     482     101
    954     872     484     101
    959     838     487     101
    964     805     489     101
    969     704     492     101
    974     604     494     134
    979     637     497     101
    984     704     499     101
    989     671     502     101
    994     704     504     101
    999     671     507     101
   1004     704     509     101
   1009     704     511    67,1
   1014     570     514    67,1
   1019     436     516    67,1
   1024     335     519    67,1
   1029     335     521    33,5
   1034     369     524    33,5
   1039     335     526    33,5
   1044     302     529    33,5
   1049     335     531    33,5
   1054     335     534    33,5
   1059     268     536    33,5
   1064     235     538    33,5
   1069     235     541    33,5
   1074     369     543    33,5
   1079     503     546    33,5
   1084     604     548    67,1
   1089     604     551    67,1
   1094     536     553    67,1
   1099     536     556    67,1
   1104     570     558     101
   1109     570     561     101
   1114     570     563     101
   1119     570     566    67,1
   1124     503     568    67,1
   1129     369     571    67,1
   1134     302     573    67,1
   1139     469     576    67,1
   1144     570     578    67,1
   1149     604     581    67,1
   1154     503     583    67,1
   1159     402     586     101
   1164     369     588     101
   1169     402     591     101
   1174     469     593     101
   1179     570     596    67,1
   1184     536     598    67,1
   1189     469     601    67,1
   1194     469     603    67,1
   1199     469     606    33,5
   1204     436     608    33,5
   1209     335     610     0,0
   1214     268     613    33,5
   1219     235     615     0,0
   1224     302     618    33,5
   1229     402     620    33,5
   1234     604     623    33,5
   1239     570     625    33,5
   1244     402     628     0,0
   1249     302     630     0,0
   1254     302     633     0,0
   1259     436     635    33,5
   1264     671     638    33,5
   1269    1006     640    67,1
   1274    1174     643    33,5
   1279     972     645    33,5
   1284     738     648    33,5
   1289     704     650    33,5
   1294    1006     652    33,5
   1299    1744     655    67,1
   1304    2381     657    67,1
   1309    2749     660    67,1
   1314    2716     662    67,1
   1319    2280     665    67,1
   1324    1643     667    33,5
   1329     838     670    33,5
   1334     436     672     0,0
   1339     302     675    33,5
   1344     369     677    33,5
   1349     335     680    33,5
   1354     335     682    33,5
   1359     402     685    33,5
   1364     302     687     0,0
   1369     268     690     0,0
   1374     235     692     0,0
   1379     335     695    33,5
   1384     369     697    33,5
   1389     369     700    67,1
   1394     268     702    67,1
   1399     302     704    67,1
   1404     369     707    67,1
   1409     469     709    67,1
   1414     570     712    67,1
   1419     805     714    67,1
   1424    1241     717    67,1
   1429    1777     719    67,1
   1434    2246     722    67,1
   1439    2179     724    33,5
   1444    2548     727    33,5
   1449    3521     729     0,0
   1454    5029     732    33,5
   1459    5398     734    33,5
   1464    5331     737    67,1
   1469    4325     739    67,1
   1474    2515     742    33,5
   1479     939     744    33,5
   1484     872     747    33,5
   1489    1475     749     0,0
   1490    1377     750    30,0
   1491    1586     750    32,0
   1492    1806     751    32,0
   1493    1923     751    42,0
   1494    2142     752    31,0
   1495    2294     752    35,0
   1496    2451     753    47,0
   1497    2663     753    35,0
   1498    2814     754    27,0
   1499    2892     754    32,0
   1500    3121     755    34,0
   1501    3139     755    34,0
   1502    3215     756    32,0
   1503    3308     756    34,0
   1504    3357     757    26,0
   1505    3370     757    33,0
   1506    3429     757    32,0
   1507    3560     758    22,0
   1508    3597     758    46,0
   1509    3715     759    40,0
   1510    3966     759    31,0
   1511    4174     760    31,0
   1512    4641     760    31,0
   1513    5335     761    30,0
   1514    5831     761    34,0
   1515    6784     762    38,0
   1516    7361     762    46,0
   1517    8568     763    38,0
   1518    9288     763    33,0
   1519   10311     764    38,0
   1520   10991     764    49,0
   1521   11918     765    58,0
   1522   12700     765    47,0
   1523   13185     766    61,0
   1524   13582     766    62,0
   1525   13929     767    56,0
   1526   13883     767    55,0
   1527   14240     768    56,0
   1528   14411     768    68,0
   1529   14017     769    62,0
   1530   13956     769    76,0
   1531   13814     770    58,0
   1532   13380     770    62,0
   1533   13219     771    59,0
   1534   12744     771    74,0
   1535   12203     772    49,0
   1536   11311     772    51,0
   1537   10863     773    42,0
   1538    9854     773    47,0
   1539    8884     774    33,0
   1540    8045     774    44,0
   1541    7165     775    30,0
   1542    6135     775    33,0
   1543    5219     776    30,0
   1544    4553     776    34,0
   1545    3942     777    38,0
   1546    3518     777    25,0
   1547    3055     778    35,0
   1548    2801     778    32,0
   1549    2480     779    29,0
   1550    2392     779    24,0
   1554    1039     781    33,5
   1559     570     784     0,0
   1564     335     786    33,5
   1569     335     789    33,5
   1574     335     791    33,5
   1579     369     794    33,5
   1584     302     796    33,5
   1589     201     799     0,0
   1594     201     801    33,5
   1599     302     804    33,5
   1604     268     806    67,1
   1609     201     809    33,5
   1614     168     811    33,5
   1619     134     813    33,5
   1624     201     816     0,0
   1629     201     818     0,0
   1634     168     821    33,5
   1639     101     823    67,1
   1644     101     826    67,1
   1649     235     828    33,5
   1654     235     831     0,0
   1659     201     833    33,5
   1664     268     836    67,1
   1669     335     838    67,1
   1674     335     841    67,1
   1679     369     843    33,5
   1684     335     846    33,5
   1689     503     848     0,0
   1694     604     851     0,0
   1699     503     853    33,5
   1700     495     854    25,0
   1701     477     854    20,0
   1702     506     855    23,0
   1703     535     855    27,0
   1704     596     856    19,0
   1705     615     856    15,0
   1706     706     857    20,0
   1707     794     857    21,0
   1708    1021     858    18,0
   1709    1214     858    19,0
   1710    1762     859    21,0
   1711    2472     859    19,0
   1712    3318     860    29,0
   1713    4320     860    23,0
   1714    5629     861    24,0
   1715    6904     861    37,0
   1716    8116     862    33,0
   1717    9582     862    39,0
   1718   11034     863    49,0
   1719   11818     863    42,0
   1720   12710     864    52,0
   1721   13428     864    58,0
   1722   13901     865    54,0
   1723   13852     865    47,0
   1724   14261     866    58,0
   1725   14173     866    53,0
   1726   13955     866    50,0
   1727   14034     867    54,0
   1728   13562     867    59,0
   1729   13146     868    57,0
   1730   12661     868    52,0
   1731   11883     869    49,0
   1732   11359     869    50,0
   1733   10655     870    35,0
   1734    9690     870    24,0
   1735    8286     871    36,0
   1736    7607     871    29,0
   1737    6439     872    35,0
   1738    5422     872    23,0
   1739    4473     873    32,0
   1740    3752     873    19,0
   1741    3040     874    30,0
   1742    2634     874    20,0
   1743    2211     875    23,0
   1744    1843     875    19,0
   1745    1638     876    24,0
   1746    1350     876    18,0
   1747    1136     877    18,0
   1748     970     877    17,0
   1749     835     878    21,0
   1750     679     878    19,0
   1754     402     880    33,5
   1759     302     883    33,5
   1764     235     885     0,0
   1769     101     888     0,0
   1774    67,1     890     0,0
   1779     201     893     0,0
   1784     201     895     0,0
   1789     134     898    33,5
   1794     101     900    33,5
   1799     101     903    33,5
   1804     134     905    33,5
   1809     134     908    33,5
   1814     101     910    33,5
   1819     101     913    33,5
   1824     168     915    33,5
   1829     168     918    33,5
   1834    33,5     920    33,5
   1839     101     923    67,1
   1844     168     925    33,5
   1849     101     928     0,0
   1854     101     930     0,0
   1859     101     933     0,0
   1864     134     935     0,0
   1869    67,1     937     0,0
   1874    67,1     940    33,5
   1879    67,1     942    33,5
   1884     101     945    33,5
   1889    67,1     947    33,5
   1894    67,1     950     0,0
   1899    67,1     952    33,5
   1904    33,5     955     0,0
   1909     101     957     0,0
   1914     101     960     0,0
   1919     168     962     0,0
   1924     168     965     0,0
   1929     168     967     0,0
   1934     201     970     0,0
   1939     268     972    33,5
   1944     268     975     0,0
   1949     436     977     0,0
   1954     469     980    33,5
   1959     235     982    33,5
   1964     134     985     0,0
   1969     101     987    33,5
   1974    67,1     990    33,5
   1979     134     992    33,5
   1984     101     995     0,0
   1989     101     997     0,0
   1994    67,1    1000     0,0
   1999    33,5    1002     0,0
   2004    67,1    1005    33,5
   2009     101    1007    33,5
   2014    33,5    1010     0,0
   2019     0,0    1012     0,0
   2024    33,5    1015     0,0
   2029    33,5    1017    33,5
   2034    67,1    1020    33,5
   2039    67,1    1022     0,0
   2044    67,1    1025     0,0
   2049     0,0    1027     0,0
   2054    33,5    1030     0,0
   2059    33,5    1032     0,0
   2064    33,5    1034     0,0
   2069    33,5    1037     0,0
   2074    33,5    1039     0,0
   2079    67,1    1042    33,5
   2084    33,5    1044     0,0
   2089    67,1    1047     0,0
   2094    67,1    1049     0,0
   2099    67,1    1052     0,0
   2104     168    1054     0,0
   2109     134    1057     0,0
   2114     0,0    1059    33,5
   2119    67,1    1062     0,0
   2124    33,5    1064     0,0
   2129     0,0    1067    33,5
   2134    33,5    1069     0,0
   2139    67,1    1072     0,0
   2144    67,1    1074     0,0
   2149    67,1    1077     0,0
   2154     0,0    1079     0,0
   2159     101    1082    33,5
   2164    33,5    1084     0,0
   2169    33,5    1087     0,0
   2174     0,0    1089    33,5
   2179    33,5    1092    33,5
   2184     0,0    1094     0,0
   2189    67,1    1097     0,0
   2194    67,1    1099    33,5
   2199    33,5    1102    33,5
   2204     0,0    1104    33,5
   2209    33,5    1107     0,0
   2214     0,0    1109     0,0
   2219    67,1    1112     0,0
   2224    33,5    1114     0,0
   2229    33,5    1117     0,0
   2234    67,1    1119     0,0
   2239     0,0    1122     0,0
   2244     0,0    1124     0,0
   2249    33,5    1127     0,0
   2254    67,1    1129     0,0
   2259    33,5    1131     0,0
   2264     0,0    1134     0,0
   2269     0,0    1136     0,0
   2274    33,5    1139     0,0
   2279    67,1    1141     0,0
   2284    33,5    1144     0,0
   2289    67,1    1146     0,0
   2294    33,5    1149     0,0
   2299     101    1151     0,0
   2304    67,1    1154     0,0
   2309    33,5    1156     0,0
   2314     0,0    1159     0,0
   2319    67,1    1161     0,0
   2324     0,0    1164     0,0
   2329    33,5    1166     0,0
   2334    33,5    1169     0,0
   2339     0,0    1171     0,0
   2344    33,5    1174     0,0
   2349    67,1    1176     0,0
   2354    33,5    1179     0,0
   2359    67,1    1181     0,0
   2364    33,5    1184     0,0
   2369    67,1    1186     0,0
   2374     0,0    1189     0,0
   2379    33,5    1191    33,5
   2384    67,1    1194     0,0
   2389    33,5    1196    33,5
   2394    67,1    1199    33,5
   2399    33,5    1201     0,0
   2404    67,1    1204     0,0
   2409    33,5    1206     0,0
   2414     0,0    1209     0,0
   2419    67,1    1211     0,0
   2424    67,1    1214     0,0
   2429    33,5    1216     0,0
   2434    67,1    1218     0,0
   2439    33,5    1221     0,0
   2444    33,5    1223     0,0
   2449     0,0    1226     0,0
   2454    33,5    1229     0,0
   2459     101    1231     0,0
   2464    33,5    1234     0,0
   2469    33,5    1236     0,0
   2474    33,5    1238     0,0
   2479     0,0    1241    33,5
   2484    33,5    1243     0,0
   2489    33,5    1246     0,0
   2494     0,0    1248     0,0
   2499     0,0    1251    33,5
   2504    33,5    1253     0,0
   2509    33,5    1256     0,0
   2514     0,0    1258     0,0
   2519    33,5    1261     0,0
   2524    33,5    1263    67,1
   2529    67,1    1266    33,5
   2534    67,1    1268    33,5
   2539     0,0    1271     0,0
   2544    33,5    1273    33,5
   2549    67,1    1276    33,5
   2554    33,5    1278     0,0
   2559    33,5    1281     0,0
   2564     0,0    1283     0,0
   2569    33,5    1286     0,0
   2574     0,0    1288     0,0
   2579    67,1    1291    33,5
   2584    33,5    1293     0,0
   2589    33,5    1296     0,0
   2594     0,0    1298    33,5
   2599     0,0    1301     0,0
   2604    33,5    1303     0,0
   2609    33,5    1306     0,0
   2614     0,0    1308    33,5
   2619    33,5    1311     101
   2624     0,0    1313     134
   2629    33,5    1316     101
   2634    67,1    1318    33,5
   2639     0,0    1321    33,5
   2644     0,0    1323     0,0
   2649    33,5    1326    67,1
   2654    33,5    1328    33,5
   2659    33,5    1331    33,5
   2664    33,5    1333     0,0
   2669     0,0    1336    33,5
   2674    33,5    1338     0,0
   2679     0,0    1340     0,0
   2684     0,0    1343     0,0
   2689     0,0    1345    33,5
   2694     0,0    1348     0,0
   2699    33,5    1351    33,5
   2704     0,0    1353     0,0
   2709     0,0    1356    33,5
   2714     0,0    1358    33,5
   2719     0,0    1360     0,0
   2724    67,1    1363     0,0
   2729     0,0    1365     0,0
   2734    33,5    1368     0,0
   2739     0,0    1370    33,5
   2744    33,5    1373    33,5
   2749     0,0    1375     0,0
   2754     0,0    1378     0,0
   2759    33,5    1380     0,0
   2764     0,0    1383     0,0
   2769     0,0    1385     0,0
   2774     0,0    1388     0,0
   2779    33,5    1390     0,0
   2784     0,0    1393    33,5
   2789     0,0    1395     0,0
   2794     0,0    1398     0,0
   2799     0,0    1400     0,0
   2804     0,0    1403     0,0
   2809    33,5    1405    67,1
   2814     0,0    1408    33,5
   2819    67,1    1410     0,0
   2824     0,0    1413     0,0
   2829    33,5    1415     101
   2834     0,0    1418     0,0
   2839     0,0    1420     0,0
   2844    33,5    1422     0,0
   2849     0,0    1425     0,0
   2854    33,5    1427     0,0
   2859     0,0    1430     0,0
   2864     0,0    1432     134
   2869    33,5    1435     101
   2874     0,0    1437    67,1
   2879     0,0    1440     0,0
   2884     0,0    1442     0,0
   2889     0,0    1445     0,0
   2894     0,0    1447     0,0
   2899     0,0    1450     0,0
   2904     0,0    1452     0,0
   2909     0,0    1455     0,0
   2914     0,0    1457     0,0
   2919     0,0    1460     134
   2924    67,1    1462     235
   2929     0,0    1465     201
   2934     0,0    1467     101
   2939     0,0    1470     0,0
   2944     0,0    1472    33,5
   2949    33,5    1475     0,0
   2954     0,0    1477    33,5
   2959     0,0    1480    33,5
   2964     0,0    1482     0,0
   2969     0,0    1485     0,0
   2974     0,0    1487     0,0
   2979     0,0    1490     0,0
   2984     0,0    1492    33,5
   2989     0,0    1495     0,0
   2994     0,0    1498     0,0
   2999     0,0    1500    67,1
   3004     0,0    1502     101
   3009    33,5    1505     134
   3014     0,0    1508    67,1
   3019    33,5    1510     0,0
   3024     0,0    1512    33,5
   3029    33,5    1515     0,0
   3034     0,0    1518     0,0
   3039     0,0    1520    67,1
   3044     0,0    1522    33,5
   3049    33,5    1525    67,1
   3054     0,0    1528     536
   3059    33,5    1530     335
   3064     0,0    1533     201
   3069     0,0    1535    33,5
   3074    33,5    1538     0,0
   3079     0,0    1540    67,1
   3084     0,0    1543     101
   3089     0,0    1545    67,1
   3094     0,0    1548     0,0
   3099     0,0    1550     0,0
   3104     0,0    1553     0,0
   3109     0,0    1555     0,0
   3114     0,0    1558     0,0
   3119     0,0    1560     0,0
   3124     0,0    1563     0,0
   3129    33,5    1565    33,5
   3134     0,0    1568     0,0
   3139     0,0    1570     0,0
   3144     0,0    1573     0,0
   3149     0,0    1575     0,0
