01.01.2007   N1106
Образец: "W"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1581     425     101
    839    1682     427     101
    844    1446     430    67,3
    849    1177     432    67,3
    854    1177     435    67,3
    859    1211     437    67,3
    864    1446     440    67,3
    869    1682     442    67,3
    874    1883     445    67,3
    879    1816     447    67,3
    884    1749     450    67,3
    889    1648     452    67,3
    894    1581     455    67,3
    899    1547     457     101
    904    1547     460     101
    909    1614     462     101
    914    1715     465     101
    919    1850     467     101
    924    1883     469    67,3
    929    1782     472    67,3
    934    1715     474    67,3
    939    1648     477     101
    944    1614     479     101
    949    1682     482     135
    954    1782     484     168
    959    1749     487     168
    964    1715     489     168
    969    1648     492     135
    974    1480     494     135
    979    1480     497     135
    984    1513     499     135
    989    1547     502     135
    994    1782     504     135
    999    1850     507     101
   1004    1917     509     101
   1009    1816     511     101
   1014    1984     514    67,3
   1019    2152     516    67,3
   1024    2522     519    67,3
   1029    2892     521    67,3
   1034    3161     524     101
   1039    3565     526     101
   1044    4339     529     135
   1049    5415     531     101
   1054    6323     534     135
   1059    7332     536     135
   1064    8173     538     135
   1069    8879     541     135
   1074   10258     543     168
   1079   12276     546     168
   1084   14327     548     168
   1089   16782     551     168
   1094   18094     553     135
   1099   17320     556     135
   1104   15235     558     168
   1109   11065     561     235
   1114    7332     563     269
   1119    4439     566     269
   1124    2657     568     202
   1129    1951     571     168
   1134    1581     573     101
   1139    1648     576     101
   1144    1715     578     101
   1149    1850     581     101
   1154    1648     583     101
   1159    1345     586     135
   1164    1076     588     101
   1169     807     591    67,3
   1174     774     593    67,3
   1179     774     596     101
   1184    1076     598     101
   1189    1513     601     135
   1194    1749     603     101
   1199    1883     606     101
   1204    1782     608     101
   1209    1850     610    67,3
   1214    1782     613    67,3
   1219    2691     615     101
   1224    9720     618     168
   1229   23273     620     235
   1234   36558     623     404
   1239   38340     625     504
   1244   30874     628     538
   1249   22096     630     404
   1254   19607     633     437
   1259   26838     635     572
   1264   48766     638    1177
   1269   79203     640    1715
   1274  100492     643    2220
   1279   96221     645    2354
   1284   73688     648    2018
   1289   46210     650    1413
   1294   26065     652     740
   1299   12343     655     336
   1304    8173     657     101
