01.01.2007   N1106
Образец: "Yb"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1274     425    67,0
    839     938     427    67,0
    844     938     430    67,0
    849    1039     432    67,0
    854    1073     435    67,0
    859    1207     437    67,0
    864    1207     440    67,0
    869    1173     442    67,0
    874    1173     445    67,0
    879    1106     447     101
    884    1140     450    67,0
    889    1140     452    67,0
    894    1207     455    67,0
    899    1207     457    67,0
    904    1207     460    67,0
    909    1140     462    67,0
    914     972     465    33,5
    919     938     467    67,0
    924     871     469    67,0
    929     838     472    67,0
    934     938     474     101
    939     972     477     101
    944     972     479     101
    949    1006     482     134
    954     972     484     101
    959    1006     487     134
    964     938     489     168
    969     938     492     168
    974     938     494     168
    979     905     497     134
    984     972     499     168
    989    1006     502     134
    994     938     504     134
    999     871     507     101
   1004     737     509    67,0
   1009     603     511    67,0
   1014     469     514    67,0
   1019     369     516    33,5
   1024     335     519    33,5
   1029     436     521    67,0
   1034     469     524    67,0
   1039     436     526    67,0
   1044     335     529    67,0
   1049     369     531    67,0
   1054     402     534    33,5
   1059     503     536    33,5
   1064     436     538    33,5
   1069     402     541     0,0
   1074     436     543    33,5
   1079     503     546    33,5
   1084     503     548    67,0
   1089     503     551    67,0
   1094     536     553     101
   1099     570     556     134
   1104     637     558     134
   1109     603     561     168
   1114     603     563     168
   1119     570     566     168
   1124     603     568     134
   1129     536     571     101
   1134     503     573    67,0
   1139     503     576     101
   1144     570     578     101
   1149     670     581     101
   1154     737     583     101
   1159     704     586     134
   1164     670     588     134
   1169     603     591     134
   1174     637     593     134
   1179     771     596     134
   1184     838     598     101
   1189     905     601     101
   1194     871     603     101
   1199     737     606    67,0
   1204     737     608    67,0
   1209     704     610    67,0
   1214     871     613    67,0
   1219    1140     615    67,0
   1224    1542     618    67,0
   1229    1944     620     101
   1234    1776     623     101
   1239    1106     625    67,0
   1244     737     628    67,0
   1249    1006     630    33,5
   1254    1575     633     0,0
   1259    2681     635    33,5
   1264    3855     638    33,5
   1269    4558     640    67,0
   1274    3821     643    33,5
   1279    2112     645    67,0
   1284    1073     648    67,0
   1289     570     650    67,0
   1294     670     652    67,0
   1299     637     655    67,0
   1304     637     657    67,0
   1309     570     660    67,0
   1314     637     662    67,0
   1319     570     665    67,0
   1324     503     667    67,0
   1329     369     670    67,0
   1334     302     672    67,0
   1339     369     675    33,5
   1344     402     677    33,5
   1349     402     680    33,5
   1354     369     682    67,0
   1359     402     685    33,5
   1364     369     687     0,0
   1369     369     690     0,0
   1374     369     692     0,0
   1379     804     695    33,5
   1384    1240     697    33,5
   1389    1776     700    33,5
   1394    2581     702    67,0
   1399    5262     704     101
   1400    5507     705    59,0
   1401    6300     705    43,0
   1402    7290     706    60,0
   1403    8321     706    62,0
   1404    9249     707    66,0
   1405   10545     707    72,0
   1406   11167     708    87,0
   1407   12190     708    84,0
   1408   12806     709    84,0
   1409   13321     709    91,0
   1410   13924     710    88,0
   1411   14047     710    75,0
   1412   14154     711    97,0
   1413   14369     711    85,0
   1414   14390     712    90,0
   1415   14204     712    77,0
   1416   13923     713    83,0
   1417   13631     713    89,0
   1418   13045     714    76,0
   1419   12759     714    87,0
   1420   12364     715    91,0
   1421   11646     715    70,0
   1422   10773     716    64,0
   1423   10215     716    66,0
   1424    9398     717    69,0
   1425    8568     717    51,0
   1426    7542     718    63,0
   1427    6563     718    60,0
   1428    5894     719    61,0
