01.01.2007   N1106
Образец: "gold"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
    834    1917     425    67,3
    839    1413     427    67,3
    844    1379     430    67,3
    849    1581     432    67,3
    854    1749     435    67,3
    859    2085     437    33,6
    864    2354     440    33,6
    869    2624     442    33,6
    874    3027     445    33,6
    879    3633     447    33,6
    884    4272     450    33,6
    889    4810     452    33,6
    894    5617     455    33,6
    899    6492     457    33,6
    904    7433     460    67,3
    909    8611     462    67,3
    914    9350     465    67,3
    919    9720     467     101
    924    9552     469     101
    929    8981     472     135
    934    7837     474     135
    939    6155     477     135
    944    4507     479     168
    949    2893     482     168
    954    2085     484     168
    959    1816     487     168
    964    1614     489     168
    969    1480     492     202
    974    1345     494     168
    979    1244     497     168
    984    1244     499     168
    989    1144     502     168
    994    1244     504     135
    999    1547     507     135
   1004    1816     509     135
   1009    2153     511     101
   1014    2556     514     101
   1019    2825     516     101
   1024    3834     519    67,3
   1029    5348     521    67,3
   1034    7299     524    67,3
   1039    8779     526     101
   1044    9418     529     101
   1049   10124     531     168
   1054   11873     534     235
   1059   17927     536     404
   1064   29498     538     605
   1069   41875     541     774
   1074   50116     543     875
   1079   45340     546     841
   1084   34476     548     740
   1089   22199     551     572
   1094   14766     553     437
   1099   10662     556     303
   1104    7601     558     336
   1109    6391     561     370
   1114    5112     563     404
   1119    3801     566     370
   1124    2422     568     303
   1129    1480     571     269
   1134    1177     573     202
   1139    1211     576     168
   1144    1278     578     135
   1149    1211     581     101
   1154    1177     583     101
   1159    1177     586    67,3
   1164    1211     588    67,3
   1169    1110     591    67,3
   1174    1009     593    67,3
   1179    1076     596    67,3
   1184    1345     598    67,3
   1189    1783     601     101
   1194    1984     603     101
   1199    1715     606     101
   1204    1244     608    67,3
   1209     875     610    33,6
   1214     740     613    33,6
   1219     807     615    33,6
   1224     975     618    33,6
   1229    1278     620    33,6
   1234    1312     623    33,6
   1239    1244     625    67,3
   1244    1345     628    67,3
   1249    2455     630    33,6
   1254    5213     633    67,3
   1259    9451     635     202
   1264   21291     638     404
   1269   39117     640     538
   1274   47963     643     673
   1279   42481     645     605
   1284   24856     648     471
   1289   13689     650     235
   1294    8308     652     101
   1299    4305     655    67,3
   1304    1850     657    67,3
   1309     975     660    67,3
   1314     942     662    33,6
   1319     673     665    33,6
   1324     605     667    33,6
   1329     605     670    67,3
   1334     639     672    67,3
   1339     639     675    33,6
   1344     706     677    67,3
   1349     740     680    67,3
   1354     774     682    67,3
   1359     908     685    67,3
   1364    1244     687    67,3
   1369    2825     690    67,3
   1374    6929     692     101
   1379   12748     695     101
   1384   16885     697     101
   1389   17894     700     101
   1394   16246     702    67,3
   1399   11301     704    67,3
   1404    5718     707    67,3
   1409    2354     709    67,3
   1414    1514     712    67,3
   1419    1413     714    33,6
   1424    1514     717    33,6
   1429    1749     719    33,6
   1434    1581     722    33,6
   1439    1783     724    33,6
   1444    2388     727    33,6
   1449    3128     729    67,3
   1454    3464     732    67,3
   1459    3263     734     101
   1464    2489     737    67,3
   1469    1715     739    67,3
   1474    1043     742    33,6
   1479     706     744    33,6
   1484     605     747    33,6
   1489     740     749    33,6
   1494     706     752    67,3
   1499     706     754    67,3
   1504     774     757    67,3
   1509    1009     759    33,6
   1514    1043     761    33,6
   1519    5987     764    67,3
   1524   25260     766     370
   1529   57818     769     706
   1534   81699     771    1144
   1539   85264     774    1144
   1544   69826     776     875
   1549   44633     779     437
   1554   17726     781     135
   1559    3902     784    33,6
   1564    1177     786     0,0
   1569     740     789    33,6
   1574     538     791    33,6
   1579     639     794    33,6
   1584     774     796    33,6
   1589     774     799    33,6
   1594     639     801    33,6
   1599     572     804    33,6
   1604     471     806     0,0
   1609     404     809    33,6
   1614     404     811    33,6
   1619     370     813    33,6
   1624     404     816    33,6
   1629     404     818    33,6
   1634     370     821    33,6
   1639     303     823    33,6
   1644     303     826    33,6
   1649     336     828    33,6
   1654     336     831    33,6
   1659     404     833    33,6
   1664     404     836    67,3
   1669     370     838    67,3
   1674     303     841    67,3
   1679     303     843    33,6
   1684     303     846    33,6
   1689     336     848    33,6
   1694     269     851    33,6
   1699     202     853     0,0
   1704     202     856    33,6
   1709     269     858    67,3
   1714     269     861    67,3
   1719     303     863    67,3
   1724     437     866    67,3
   1729     404     868    67,3
   1734     370     870    33,6
   1739     370     873    33,6
   1744     269     875    33,6
   1749     303     878    33,6
   1754     404     880    33,6
   1759     437     883    33,6
   1764     336     885    33,6
   1769     303     888    67,3
   1774     303     890     135
   1779     235     893     202
   1784     202     895     202
   1789     202     898     269
   1794     303     900     202
   1799     303     903     101
   1804     168     905    67,3
   1809     269     908     101
   1814     336     910    33,6
   1819     336     913    33,6
   1824     336     915     135
   1829     269     918     269
   1834     101     920     370
   1839     336     923     404
   1844     269     925     538
   1849     303     928     437
   1854     303     930     336
   1859     168     933     202
   1864     235     935    67,3
   1869     303     937     0,0
   1874     303     940    33,6
   1879     202     942    33,6
   1884     202     945    33,6
   1889     168     947    33,6
   1894     135     950    67,3
   1899     168     952    33,6
   1904     235     955    33,6
   1909     101     957    33,6
   1914     235     960    67,3
   1919     202     962    67,3
   1924     269     965    33,6
   1929     303     967    67,3
   1934     101     970    33,6
   1939     202     972    33,6
   1944     135     975    33,6
   1949     202     977    33,6
   1954     168     980    33,6
   1959     168     982    33,6
   1964     235     985     0,0
   1969     202     987     0,0
   1974     202     990    33,6
   1979     135     992    67,3
   1984     101     995    33,6
   1989     168     997    67,3
   1994     202    1000    33,6
   1999     202    1002    33,6
   2004     235    1005     0,0
   2009     168    1007    33,6
   2014     101    1010    33,6
   2019     202    1012    33,6
   2024     135    1015    33,6
   2029    67,3    1017    33,6
   2034     101    1020    33,6
   2039     168    1022     101
