I;N;sN;E;P;weird;sweird
0;0.50;0.074535599249993;0;0;;
0.2;0.59;0.080966385343274;29.3647058823529;0.097882352941177;;
0.4;0.67;0.086281194036965;58.7294117647059;0.195764705882353;;
0.6;0.66;0.085634883857768;88.0941176470588;0.293647058823529;;
0.8;0.89;0.099442892601175;117.458823529412;0.391529411764706;;
1;0.93;0.101653004546513;146.823529411765;0.489411764705882;;
1.2;2.03;0.150148075060736;176.188235294118;0.587294117647059;;
1.4;3.01;0.182847842025366;205.552941176471;0.685176470588235;;
1.6;4.52;0.224078359310111;234.917647058823;0.783058823529412;;
1.8;6.28;0.264112770527204;264.282352941176;0.880941176470588;;
2;7.49;0.288444102037119;293.647058823529;0.978823529411765;77.4528297264834;2.81613106165964
2.2;8.04;0.298849646329239;323.011764705882;1.07670588235294;70.428028448986;2.33763335856619
2.4;9.26;0.320711015644233;352.376470588235;1.17458823529412;67.0291176535357;2.10204881654143
2.6;9.53;0.325354507507665;381.741176470588;1.27247058823529;60.845635050339;1.7712598363159
2.8;8.27;0.303095144577848;411.105882352941;1.37035294117647;51.1101016299403;1.43218051443831
3;8.04;0.298849646329239;440.470588235294;1.46823529411765;45.7443463314563;1.30580701338427
3.2;6.45;0.267623284155587;469.835294117647;1.56611764705882;37.403751900688;1.05357488924075
3.4;4.78;0.230434372436058;499.2;1.664;29.5599133553516;0.880095808005973
3.6;2.52;0.167298801217728;528.564705882353;1.76188235294118;19.7891473127471;0.645575008064777
3.8;1.68;0.136626010212795;557.929411764706;1.85976470588235;14.9641842359204;0.617615587236024
4;3.22;0.189120772700057;587.294117647059;1.95764705882353;19.9605772123313;0.964590156240851
4.1;8.25;0.302728334393139;601.976470588235;2.00658823529412;31.3754940932235;1.15622077181305
4.15;11.15;0.351931180141168;609.317647058824;2.03105882352941;35.8255987618866;0.922040968090096
4.2;13.02;0.380292285252044;616.658823529412;2.05552941176471;38.0315273892277;0.877893335391269
4.25;14.56;0.402160830182818;624;2.08;39.5190715387654;0.862313449822308
4.3;14.31;0.398692306867784;631.341176470588;2.10447058823529;38.5046887856237;0.806363134852773
4.35;11.73;0.360970912955601;638.682352941176;2.12894117647059;34.2691111776899;0.718972799418207
4.4;10.15;0.335774395159078;646.023529411765;2.15341176470588;30.8204128649522;0.689029816803477
4.5;5.26;0.241706893203777;660.705882352941;2.20235294117647;21.4665343636025;0.501380927375912
4.6;1.97;0.147911384882225;675.388235294118;2.25129411764706;12.3239348745982;0.365374035288437
4.8;0.69;0.087559503577091;704.752941176471;2.34917647058824;;
