DeviceName	Стенд N 4
LTime	600,009002
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	1
29	0
30	0
31	0
32	0
33	1
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	1
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	1
61	0
62	1
63	0
64	0
65	1
66	1
67	0
68	1
69	0
70	0
71	1
72	0
73	0
74	0
75	0
76	2
77	2
78	2
79	2
80	8
81	16
82	26
83	51
84	76
85	120
86	167
87	262
88	317
89	419
90	469
91	579
92	642
93	738
94	791
95	943
96	1030
97	1094
98	1186
99	1337
100	1346
101	1498
102	1491
103	1490
104	1511
105	1274
106	1082
107	841
108	634
109	470
110	338
111	272
112	242
113	216
114	192
115	202
116	226
117	279
118	316
119	337
120	375
121	412
122	446
123	515
124	540
125	616
126	667
127	770
128	819
129	938
130	1019
131	1182
132	1275
133	1398
134	1601
135	1737
136	1907
137	1997
138	2151
139	2360
140	2709
141	3018
142	3727
143	4336
144	5191
145	6285
146	7750
147	9318
148	10512
149	11631
150	12334
151	12452
152	12179
153	10780
154	9304
155	7407
156	5964
157	4272
158	2791
159	1824
160	1066
161	599
162	374
163	181
164	132
165	74
166	68
167	62
168	64
169	59
170	51
171	80
172	61
173	74
174	68
175	71
176	55
177	51
178	71
179	58
180	67
181	68
182	59
183	57
184	50
185	54
186	42
187	41
188	55
189	50
190	54
191	57
192	44
193	45
194	39
195	55
196	50
197	43
198	49
199	63
200	51
201	54
202	67
203	42
204	57
205	50
206	49
207	57
208	46
209	50
210	50
211	61
212	53
213	41
214	50
215	54
216	48
217	44
218	35
219	39
220	54
221	38
222	41
223	42
224	35
225	45
226	33
227	30
228	40
229	41
230	42
231	41
232	33
233	48
234	33
235	39
236	37
237	41
238	45
239	56
240	33
241	32
242	37
243	42
244	38
245	38
246	37
247	34
248	35
249	40
250	34
251	37
252	50
253	37
254	29
255	39
256	33
257	42
258	38
259	43
260	47
261	40
262	34
263	43
264	17
265	34
266	32
267	34
268	29
269	25
270	29
271	40
272	33
273	51
274	35
275	24
276	26
277	37
278	26
279	35
280	24
281	36
282	33
283	25
284	29
285	38
286	26
287	37
288	39
289	25
290	31
291	30
292	28
293	36
294	32
295	35
296	35
297	35
298	30
299	20
300	27
301	38
302	30
303	38
304	27
305	29
306	32
307	28
308	28
309	26
310	27
311	22
312	26
313	32
314	22
315	38
316	26
317	36
318	29
319	29
320	24
321	28
322	32
323	38
324	30
325	18
326	17
327	29
328	24
329	33
330	29
331	30
332	21
333	23
334	25
335	24
336	22
337	18
338	29
339	23
340	22
341	22
342	22
343	16
344	30
345	25
346	24
347	13
348	28
349	24
350	26
351	31
352	20
353	29
354	26
355	27
356	24
357	20
358	17
359	26
360	28
361	28
362	32
363	22
364	19
365	26
366	15
367	20
368	19
369	29
370	20
371	16
372	21
373	21
374	21
375	23
376	23
377	19
378	10
379	17
380	25
381	21
382	19
383	24
384	16
385	22
386	31
387	20
388	23
389	11
390	23
391	19
392	28
393	22
394	17
395	14
396	24
397	20
398	20
399	21
400	17
401	15
402	16
403	10
404	21
405	18
406	23
407	22
408	24
409	20
410	14
411	12
412	10
413	17
414	18
415	22
416	12
417	8
418	13
419	16
420	11
421	19
422	11
423	10
424	17
425	16
426	16
427	14
428	23
429	16
430	11
431	13
432	12
433	16
434	14
435	10
436	8
437	10
438	6
439	8
440	11
441	16
442	19
443	16
444	15
445	13
446	12
447	15
