DeviceName	Стенд N 4
LTime	600,007718
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	0
3	1
4	0
5	0
6	1
7	0
8	0
9	1
10	1
11	2
12	0
13	0
14	1
15	0
16	2
17	3
18	3
19	1
20	2
21	0
22	1
23	2
24	1
25	1
26	1
27	0
28	0
29	4
30	0
31	2
32	2
33	4
34	0
35	3
36	1
37	4
38	0
39	1
40	1
41	0
42	1
43	1
44	0
45	2
46	2
47	4
48	3
49	2
50	5
51	3
52	2
53	3
54	0
55	6
56	4
57	2
58	6
59	2
60	3
61	3
62	1
63	1
64	2
65	0
66	1
67	0
68	2
69	2
70	5
71	5
72	2
73	0
74	3
75	6
76	2
77	5
78	3
79	8
80	7
81	14
82	12
83	15
84	15
85	20
86	38
87	36
88	42
89	51
90	61
91	74
92	93
93	111
94	116
95	115
96	110
97	133
98	139
99	130
100	162
101	151
102	168
103	160
104	169
105	155
106	161
107	177
108	155
109	186
110	181
111	194
112	181
113	175
114	191
115	203
116	202
117	171
118	196
119	192
120	200
121	205
122	187
123	204
124	216
125	210
126	209
127	219
128	217
129	237
130	214
131	231
132	203
133	222
134	212
135	212
136	201
137	201
138	210
139	221
140	225
141	240
142	235
143	225
144	220
145	262
146	251
147	212
148	241
149	231
150	220
151	263
152	241
153	233
154	241
155	251
156	260
157	268
158	264
159	299
160	285
161	274
162	310
163	353
164	315
165	383
166	350
167	350
168	412
169	431
170	480
171	475
172	484
173	424
174	449
175	439
176	415
177	375
178	364
179	369
180	326
181	308
182	302
183	319
184	296
185	306
186	302
187	299
188	306
189	334
190	297
191	281
192	302
193	274
194	295
195	251
196	274
197	260
198	262
199	267
200	257
201	246
202	232
203	240
204	242
205	256
206	252
207	233
208	263
209	230
210	249
211	241
212	240
213	242
214	256
215	253
216	258
217	246
218	248
219	236
220	258
221	241
222	238
223	254
224	240
225	241
226	259
227	259
228	280
229	263
230	246
231	235
232	268
233	246
234	260
235	261
236	267
237	260
238	263
239	272
240	264
241	253
242	255
243	252
244	265
245	267
246	256
247	234
248	269
249	277
250	264
251	260
252	269
253	263
254	284
255	285
256	282
257	276
258	262
259	290
260	306
261	264
262	264
263	270
264	251
265	283
266	264
267	305
268	300
269	284
270	305
271	303
272	289
273	251
274	259
275	263
276	279
277	279
278	255
279	322
280	268
281	253
282	274
283	273
284	283
285	255
286	283
287	270
288	281
289	253
290	284
291	268
292	277
293	259
294	315
295	276
296	268
297	269
298	262
299	276
300	277
301	266
302	268
303	239
304	288
305	268
306	293
307	258
308	274
309	289
310	264
311	250
312	274
313	283
314	267
315	284
316	268
317	251
318	267
319	254
320	258
321	290
322	286
323	311
324	228
325	287
326	260
327	255
328	308
329	284
330	305
331	257
332	274
333	290
334	301
335	283
336	290
337	297
338	294
339	299
340	311
341	294
342	334
343	317
344	302
345	347
346	333
347	328
348	352
349	311
350	327
351	339
352	367
353	337
354	332
355	337
356	355
357	401
358	361
359	370
360	384
361	391
362	432
363	419
364	407
365	406
366	460
367	418
368	478
369	474
370	440
371	455
372	442
373	425
374	451
375	463
376	453
377	449
378	515
379	438
380	439
381	451
382	398
383	436
384	432
385	420
386	446
387	440
388	445
389	454
390	417
391	446
392	419
393	443
394	438
395	430
396	403
397	411
398	402
399	417
400	430
401	382
402	394
403	431
404	430
405	356
406	378
407	379
408	377
409	408
410	380
411	369
412	389
413	363
414	364
415	359
416	379
417	378
418	356
419	317
420	373
421	340
422	350
423	358
424	342
425	342
426	375
427	355
428	301
429	355
430	344
431	324
432	324
433	303
434	298
435	306
436	325
437	324
438	334
439	274
440	328
441	290
442	275
443	299
444	301
445	268
446	279
447	324
448	257
449	313
450	250
451	290
452	274
453	290
454	274
455	272
456	267
457	250
458	277
459	279
460	258
461	276
462	257
463	290
464	295
465	270
466	249
467	232
468	270
469	246
470	249
471	219
472	253
473	245
474	252
475	258
476	267
477	224
478	232
479	248
480	231
481	204
482	254
483	242
484	238
485	244
486	228
487	271
488	234
489	261
490	250
491	245
492	242
493	227
494	256
495	245
496	200
497	200
498	226
499	226
500	202
501	197
502	204
503	212
504	227
505	189
506	221
507	216
508	221
509	199
510	195
511	219
512	201
513	221
514	229
515	199
516	179
517	173
518	169
519	201
520	202
521	234
522	178
523	177
524	222
525	189
526	185
527	187
528	192
529	195
530	204
531	196
532	223
533	199
534	196
535	196
536	198
537	203
538	192
539	192
540	186
541	187
542	190
543	192
544	198
545	187
546	186
547	186
548	189
549	183
550	188
551	182
552	191
553	165
554	196
555	168
556	200
557	188
558	186
559	189
560	201
561	166
562	178
563	180
564	157
565	162
566	174
567	189
568	165
569	173
570	170
571	185
572	200
573	172
574	173
575	165
576	161
577	170
578	162
579	180
580	159
581	171
582	174
583	178
584	179
585	174
586	178
587	175
588	174
589	193
590	181
591	161
592	168
593	165
594	150
595	171
596	177
597	186
598	180
599	156
600	169
601	162
602	179
603	152
604	170
605	183
606	159
607	178
608	156
609	155
610	184
611	175
612	134
613	145
614	147
615	158
616	171
617	158
618	151
619	141
620	153
621	184
622	153
623	167
624	155
625	184
626	159
627	179
628	159
629	182
630	153
631	170
632	168
633	172
634	165
635	154
636	165
637	155
638	151
639	163
640	167
641	146
642	155
643	151
644	165
645	141
646	154
647	169
648	157
649	137
650	155
651	158
652	171
653	149
654	152
655	147
656	182
657	153
658	152
659	166
660	190
661	191
662	146
663	159
664	148
665	159
666	135
667	162
668	131
669	142
670	147
671	154
672	160
673	156
674	157
675	152
676	152
677	154
678	163
679	154
680	143
681	151
682	170
683	150
684	178
685	137
686	155
687	137
688	150
689	145
690	167
691	148
692	146
693	165
694	147
695	152
696	152
697	155
698	151
699	161
700	135
701	140
702	151
703	146
704	135
705	157
706	147
707	152
708	145
709	158
710	136
711	127
712	139
713	156
714	154
715	123
716	140
717	152
718	163
719	171
720	133
721	154
722	140
723	149
724	152
725	132
726	150
727	117
728	142
729	139
730	148
731	144
732	144
733	141
734	138
735	153
736	146
737	133
738	159
739	167
740	161
741	143
742	159
743	191
744	163
745	170
746	156
747	152
748	139
749	169
750	148
751	139
752	146
753	127
754	136
755	164
756	134
757	158
758	160
759	131
760	160
761	147
762	161
763	151
764	168
765	149
766	142
767	148
768	157
769	145
770	151
771	131
772	121
773	153
774	140
775	142
776	143
777	155
778	167
779	133
780	135
781	137
