DeviceName	Стенд N 4
LTime	600,001599
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	1
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	0
19	0
20	0
21	0
22	0
23	0
24	1
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	2
36	0
37	1
38	1
39	1
40	0
41	1
42	0
43	0
44	1
45	2
46	1
47	1
48	2
49	0
50	0
51	0
52	2
53	1
54	0
55	4
56	2
57	2
58	2
59	0
60	4
61	0
62	1
63	4
64	4
65	4
66	3
67	2
68	3
69	1
70	4
71	4
72	4
73	2
74	6
75	3
76	2
77	4
78	5
79	4
80	4
81	14
82	11
83	22
84	27
85	36
86	44
87	59
88	76
89	91
90	105
91	114
92	142
93	174
94	217
95	262
96	318
97	387
98	454
99	583
100	617
101	747
102	876
103	1007
104	1057
105	1107
106	1075
107	976
108	888
109	723
110	631
111	529
112	465
113	398
114	369
115	341
116	339
117	257
118	265
119	227
120	212
121	197
122	209
123	192
124	216
125	220
126	183
127	208
128	221
129	234
130	231
131	229
132	225
133	228
134	202
135	232
136	211
137	218
138	213
139	244
140	225
141	204
142	228
143	207
144	211
145	239
146	221
147	254
148	250
149	218
150	212
151	233
152	259
153	242
154	267
155	253
156	269
157	244
158	248
159	258
160	280
161	260
162	301
163	303
164	303
165	330
166	382
167	351
168	391
169	410
170	484
171	431
172	430
173	411
174	388
175	412
176	373
177	359
178	329
179	291
180	295
181	281
182	292
183	279
184	310
185	261
186	275
187	308
188	316
189	304
190	311
191	317
192	301
193	287
194	218
195	228
196	265
197	220
198	267
199	228
200	224
201	238
202	233
203	237
204	221
205	231
206	233
207	208
208	244
209	233
210	223
211	236
212	237
213	232
214	242
215	232
216	219
217	236
218	224
219	208
220	244
221	223
222	229
223	258
224	228
225	222
226	256
227	255
228	265
229	232
230	243
231	274
232	250
233	226
234	239
235	259
236	275
237	247
238	280
239	224
240	257
241	272
242	240
243	270
244	256
245	244
246	252
247	256
248	254
249	261
250	258
251	307
252	246
253	271
254	277
255	228
256	287
257	284
258	252
259	272
260	266
261	269
262	266
263	285
264	248
265	262
266	265
267	255
268	242
269	258
270	262
