DeviceName	Стенд N 4
LTime	600,000098
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	3
3	4
4	3
5	3
6	3
7	3
8	1
9	5
10	5
11	3
12	2
13	5
14	7
15	9
16	6
17	4
18	6
19	5
20	9
21	10
22	5
23	8
24	15
25	13
26	7
27	10
28	17
29	15
30	8
31	11
32	15
33	12
34	23
35	14
36	21
37	16
38	25
39	11
40	14
41	24
42	23
43	22
44	21
45	21
46	31
47	32
48	23
49	28
50	38
51	32
52	30
53	40
54	39
55	32
56	35
57	33
58	43
59	53
60	40
61	48
62	54
63	68
64	54
65	59
66	57
67	71
68	75
69	66
70	77
71	80
72	83
73	87
74	107
75	126
76	122
77	109
78	132
79	118
80	170
81	187
82	215
83	233
84	277
85	319
86	387
87	427
88	481
89	568
90	636
91	750
92	818
93	888
94	960
95	1089
96	1187
97	1377
98	1450
99	1666
100	1803
101	2018
102	2198
103	2389
104	2736
105	3229
106	3595
107	3862
108	4659
109	5284
110	5992
111	7022
112	8192
113	9463
114	10787
115	12089
116	13365
117	14443
118	14483
119	14354
120	13205
121	11657
122	10634
123	9018
124	7612
125	6671
126	6227
127	5498
128	5344
129	5038
130	4382
131	3932
132	3275
133	2685
134	2131
135	1751
136	1413
137	1270
138	1050
139	965
140	896
141	920
142	938
143	848
144	842
145	878
146	835
147	855
148	854
149	846
150	888
151	861
152	888
153	861
154	900
155	977
156	987
157	969
158	1028
159	1104
160	1101
161	1217
162	1251
163	1358
164	1468
165	1509
166	1684
167	1775
168	1847
169	2050
170	2007
171	2158
172	2141
173	2126
174	2132
175	2106
176	2067
177	2019
178	2007
179	1960
180	2021
181	2040
182	2186
183	2219
184	2324
185	2260
186	2279
187	2320
188	2456
189	2331
190	2334
191	2333
192	2225
193	2089
194	2028
195	1961
196	1915
197	1774
198	1689
199	1653
200	1599
201	1469
202	1534
203	1418
204	1407
205	1388
206	1455
207	1371
208	1304
209	1378
210	1290
211	1400
212	1363
213	1370
214	1392
215	1485
216	1509
217	1558
218	1776
219	1837
220	2037
221	2118
222	2451
223	2719
224	2966
225	3476
226	3784
227	4180
228	4721
229	5419
230	5956
231	6547
232	7271
233	8002
234	8322
235	8824
236	9138
237	9035
238	9034
239	8550
240	8213
241	7619
242	6934
243	6068
244	5523
245	4798
246	4117
247	3438
248	2983
249	2507
250	2225
251	1900
252	1689
253	1556
254	1333
255	1251
256	1136
257	1188
258	1051
259	983
260	1005
261	970
262	1047
263	1005
264	958
265	977
266	994
267	1002
268	985
269	985
270	953
271	976
272	1015
273	1015
274	974
275	957
276	1038
277	1031
278	1057
279	1108
280	1026
281	1117
282	1174
283	1182
284	1264
285	1176
286	1260
287	1317
288	1323
289	1304
290	1380
291	1433
292	1482
293	1554
294	1565
295	1499
296	1605
297	1688
298	1638
299	1570
300	1585
301	1533
302	1504
303	1577
304	1425
305	1366
306	1332
307	1176
308	1254
309	1169
310	1034
311	1102
312	1028
313	908
314	918
315	872
316	834
317	801
318	749
319	821
320	816
321	757
322	741
323	747
324	711
325	739
326	674
327	699
328	662
329	694
330	653
331	661
332	690
333	660
334	722
335	688
336	657
337	651
338	667
339	712
340	671
341	625
342	692
343	694
344	647
345	666
346	724
347	717
348	719
349	682
350	716
351	672
352	646
353	716
354	688
355	671
356	634
357	678
358	623
359	665
360	713
361	678
362	657
363	689
364	688
365	695
366	674
367	691
368	736
369	675
370	682
371	708
372	670
373	734
374	750
375	714
376	795
377	732
378	766
379	853
380	800
381	812
382	858
383	848
384	863
385	899
386	965
387	985
388	1003
389	1111
390	1029
391	1149
392	1037
393	1127
394	1161
395	1202
396	1253
397	1185
398	1243
399	1186
400	1194
401	1294
402	1222
403	1218
404	1161
405	1166
406	1159
407	1091
408	1090
409	1111
410	1056
411	999
412	953
413	913
414	904
415	845
416	868
417	811
418	814
419	789
420	729
421	720
422	634
423	604
424	674
425	622
426	577
427	582
428	569
429	567
430	588
431	529
432	525
433	514
434	493
435	505
436	493
437	506
438	489
439	466
440	507
441	490
442	496
443	498
444	472
445	472
446	490
447	520
448	537
449	473
450	558
451	492
452	521
453	554
454	520
455	568
456	521
457	517
458	527
459	565
460	543
461	588
462	574
463	556
464	565
465	564
466	517
467	566
468	481
469	535
470	545
471	540
472	480
473	518
474	532
475	511
476	517
477	427
478	466
479	475
480	495
481	498
482	446
483	461
484	489
485	442
486	475
487	482
488	493
489	496
490	489
491	525
492	492
493	519
494	496
495	528
496	544
497	567
498	610
499	619
500	620
501	666
502	704
503	725
504	798
505	784
506	884
507	886
508	910
509	942
510	1054
511	1088
512	1164
513	1235
514	1230
515	1256
516	1352
517	1330
518	1454
519	1607
520	1627
521	1662
522	1687
523	1806
524	1803
525	1912
526	1971
527	1855
528	1954
529	1954
530	1953
531	2049
532	2056
533	2096
534	2100
535	2107
536	2049
537	2095
538	2053
539	2022
540	2060
541	1965
542	2003
543	1880
544	1905
545	1935
546	1760
547	1747
548	1641
549	1583
550	1579
551	1492
552	1428
553	1350
554	1342
555	1250
556	1207
557	1074
558	1129
559	989
560	941
561	867
562	821
563	779
564	778
565	775
566	698
567	620
568	610
569	577
570	605
571	560
572	505
573	527
574	489
575	454
576	449
577	429
578	453
579	400
580	402
581	411
582	393
583	371
584	384
585	387
586	400
587	357
588	349
589	382
590	357
591	361
592	355
593	369
594	343
595	296
596	330
597	347
598	316
599	328
600	300
601	323
602	321
603	325
604	333
605	331
606	313
607	293
608	292
609	327
610	301
611	308
612	303
613	324
614	314
615	336
616	332
617	324
618	329
619	371
620	361
621	325
622	361
623	336
624	361
625	325
626	329
627	327
628	315
629	338
630	311
631	327
632	319
633	341
634	359
635	332
636	333
637	342
638	319
639	317
640	299
641	343
642	344
643	324
644	369
645	341
646	344
647	356
648	341
649	328
650	356
651	314
652	319
653	324
654	306
655	305
656	366
657	318
658	320
659	346
660	304
661	341
662	319
663	332
664	313
665	316
666	338
667	280
668	352
669	317
670	335
671	294
672	309
673	301
674	306
675	300
676	309
677	328
678	303
679	293
680	298
681	295
682	295
683	288
684	302
685	285
686	266
687	320
688	275
689	276
690	302
691	276
692	271
693	288
694	272
695	253
696	226
697	237
698	257
699	253
700	238
701	292
702	250
703	235
704	266
705	229
706	243
707	220
708	224
709	241
710	256
711	240
712	217
713	210
714	234
715	236
716	230
717	222
718	242
719	237
720	247
721	202
722	217
723	229
724	215
725	224
726	201
727	207
728	224
729	207
730	248
731	234
732	257
733	245
734	241
735	239
736	227
737	212
738	229
739	225
740	210
741	220
742	206
743	212
744	223
745	226
746	228
747	219
748	234
749	219
750	238
751	237
752	213
753	215
754	228
755	256
756	228
757	244
758	224
759	214
760	220
761	233
762	229
763	194
764	238
765	201
766	223
767	194
768	223
769	231
770	225
771	218
772	209
773	230
774	228
775	210
776	199
777	238
778	230
779	201
780	226
781	208
782	224
783	215
784	203
785	185
786	204
787	225
788	212
789	188
790	177
791	203
792	218
793	224
794	212
795	196
796	216
797	203
798	176
799	207
800	168
801	205
802	211
803	200
804	205
805	233
806	213
807	212
808	218
809	167
810	212
811	207
812	194
813	204
814	236
815	198
816	205
817	221
818	196
819	231
820	217
821	217
822	215
823	200
824	222
825	209
826	226
827	211
828	175
829	194
830	210
831	188
832	227
833	205
834	209
835	186
836	195
837	202
838	216
839	188
840	201
841	209
842	203
843	218
844	221
845	207
846	197
847	227
848	201
849	194
850	197
851	235
852	215
853	207
854	206
855	223
856	194
857	238
858	178
859	202
860	192
861	195
862	208
863	205
864	214
865	206
866	203
867	204
868	185
869	206
870	193
871	202
872	197
873	184
874	171
875	202
876	213
877	182
878	184
879	211
880	190
881	188
882	174
883	171
884	173
885	178
886	196
887	191
888	143
889	178
890	174
891	190
892	205
893	195
894	151
895	196
896	157
897	181
898	170
899	183
900	165
901	178
902	171
903	159
904	164
905	181
906	158
907	160
908	181
909	170
910	169
911	172
912	181
913	187
914	158
915	187
916	167
917	143
918	165
919	175
920	155
921	137
922	159
923	161
924	178
925	142
926	176
927	159
928	167
929	160
930	171
931	185
932	157
933	183
934	154
935	166
936	157
937	168
938	171
939	160
940	147
941	155
942	198
943	156
944	162
945	166
946	168
947	151
948	169
949	186
950	182
951	159
952	158
953	149
954	170
955	171
956	161
957	173
958	164
959	169
960	156
961	154
962	159
963	168
964	159
965	152
966	163
967	172
968	170
969	156
970	179
971	168
972	188
973	132
974	161
975	165
976	157
977	151
978	170
979	165
980	158
981	170
982	188
983	165
984	167
985	167
986	172
987	201
988	146
989	168
990	172
991	157
992	167
993	161
994	153
995	182
996	184
997	186
998	159
999	164
1000	161
1001	160
1002	146
1003	183
1004	187
1005	171
1006	198
1007	176
1008	169
1009	163
1010	157
1011	175
1012	178
1013	171
1014	179
1015	160
1016	170
1017	166
1018	163
1019	205
1020	199
1021	188
1022	179
1023	159
1024	175
1025	170
1026	145
1027	164
1028	178
1029	177
1030	185
1031	170
1032	168
1033	170
1034	191
1035	171
1036	189
1037	164
1038	198
1039	157
1040	173
1041	174
1042	176
1043	149
1044	166
1045	172
1046	164
1047	173
1048	157
1049	172
1050	184
1051	184
1052	191
1053	174
1054	165
1055	177
1056	178
1057	179
1058	152
1059	191
1060	189
1061	166
1062	145
1063	168
1064	184
1065	166
1066	195
1067	189
1068	179
1069	175
1070	181
1071	204
1072	194
1073	204
1074	173
1075	158
1076	210
1077	229
1078	192
1079	184
1080	204
1081	196
1082	214
1083	198
1084	205
1085	212
1086	219
1087	242
1088	208
1089	238
1090	224
1091	226
1092	248
1093	235
1094	236
1095	226
1096	242
1097	244
1098	243
1099	245
1100	264
1101	261
1102	262
1103	251
1104	270
1105	257
1106	265
1107	263
1108	285
1109	272
1110	308
1111	284
1112	304
1113	295
1114	284
1115	283
1116	296
1117	262
1118	297
1119	293
1120	342
1121	305
1122	328
1123	323
1124	310
1125	339
1126	324
1127	319
1128	311
1129	348
1130	302
1131	363
1132	307
1133	260
1134	326
1135	354
1136	328
1137	298
1138	337
1139	342
1140	294
1141	281
1142	313
1143	277
1144	284
1145	267
1146	306
1147	280
1148	290
1149	267
1150	296
1151	235
1152	275
1153	274
1154	231
1155	251
1156	216
1157	263
1158	265
1159	270
1160	218
1161	218
1162	241
1163	216
1164	239
1165	224
1166	202
1167	224
1168	195
1169	201
1170	195
1171	185
1172	196
1173	183
1174	189
1175	177
1176	161
1177	171
1178	190
1179	170
1180	191
1181	184
1182	157
1183	169
1184	167
1185	131
1186	143
1187	160
1188	161
1189	146
1190	173
1191	159
1192	126
1193	145
1194	139
1195	158
1196	165
1197	146
1198	154
1199	157
1200	144
1201	147
1202	147
1203	149
1204	130
1205	123
1206	162
1207	133
1208	134
1209	147
1210	147
1211	160
1212	126
1213	146
1214	134
1215	141
1216	124
1217	166
1218	132
1219	145
1220	160
1221	138
1222	138
1223	162
1224	142
1225	142
