DeviceName	Стенд N 4
LTime	600,008467
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	0
3	0
4	1
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	1
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	2
24	0
25	0
26	0
27	0
28	0
29	0
30	1
31	0
32	0
33	0
34	1
35	0
36	0
37	0
38	1
39	0
40	0
41	1
42	0
43	1
44	2
45	0
46	1
47	0
48	1
49	0
50	0
51	2
52	2
53	0
54	1
55	0
56	0
57	0
58	1
59	1
60	2
61	0
62	1
63	0
64	2
65	2
66	1
67	0
68	1
69	2
70	1
71	0
72	2
73	1
74	1
75	1
76	2
77	0
78	2
79	3
80	2
81	2
82	5
83	9
84	12
85	24
86	34
87	31
88	55
89	44
90	56
91	66
92	65
93	84
94	108
95	94
96	104
97	118
98	111
99	118
100	151
101	142
102	163
103	154
104	119
105	154
106	152
107	168
108	167
109	187
110	177
111	150
112	161
113	174
114	176
115	162
116	203
117	163
118	160
119	173
120	162
121	188
122	193
123	198
124	192
125	210
126	208
127	212
128	198
129	198
130	186
131	214
132	177
133	161
134	188
135	205
136	193
137	200
138	166
139	180
140	198
141	193
142	214
143	195
144	212
145	184
146	188
147	210
148	200
149	209
150	207
151	202
152	218
153	208
154	207
155	228
156	216
157	236
158	218
159	224
160	235
161	256
162	267
163	298
164	270
165	309
166	310
167	323
168	339
169	394
170	399
171	413
172	407
173	413
174	390
175	420
176	313
177	374
178	335
179	281
180	286
181	314
182	261
183	301
184	282
185	266
186	270
187	284
188	294
189	290
190	247
191	245
192	271
193	260
194	250
195	242
196	221
197	213
198	238
199	252
200	203
201	185
202	209
203	202
204	239
205	214
206	207
207	229
208	222
209	231
210	196
211	241
212	233
213	215
214	212
215	215
216	267
217	241
218	243
219	236
220	255
221	234
222	208
223	230
224	254
225	211
226	261
227	230
228	241
229	241
230	249
231	228
232	229
233	234
234	266
235	249
236	255
237	202
238	251
239	237
240	254
241	238
242	256
243	231
244	237
245	235
246	258
247	232
248	270
249	232
250	256
251	272
252	243
253	221
254	213
255	275
256	226
257	269
258	250
259	257
260	228
261	256
262	218
263	225
264	253
265	253
266	215
267	238
268	245
269	274
270	250
271	248
272	246
273	254
274	240
275	235
276	228
277	254
278	239
279	237
280	271
281	251
282	260
283	235
284	266
285	285
286	244
287	253
288	231
289	303
290	252
291	260
292	277
293	280
294	288
295	266
296	294
297	297
298	273
299	314
300	324
301	307
302	333
303	344
304	329
305	319
306	353
307	336
308	355
309	354
310	369
311	383
312	356
313	379
314	386
315	352
316	385
317	366
318	359
319	398
320	351
321	349
322	394
323	387
324	403
325	371
326	380
327	382
328	372
329	372
330	368
331	327
332	333
333	392
334	379
335	355
336	328
337	361
338	332
339	304
340	321
341	326
342	319
343	306
344	329
345	329
346	365
347	316
348	297
349	307
350	316
351	337
352	317
353	304
354	307
355	308
356	331
357	291
358	321
359	304
360	315
361	287
362	327
363	309
364	314
365	313
366	311
367	321
368	333
369	287
370	282
371	275
372	303
373	297
374	261
375	285
376	291
377	276
378	282
379	298
380	284
381	279
382	327
383	257
384	262
385	267
386	280
387	263
388	258
389	237
390	238
391	252
392	276
393	299
394	220
395	294
396	264
397	255
398	238
399	242
400	250
401	236
402	247
403	235
404	245
405	247
406	260
407	240
408	268
409	226
410	270
411	226
412	222
413	252
414	249
415	223
416	242
417	204
418	236
419	218
420	235
421	234
422	227
423	196
424	203
425	232
426	195
427	202
428	230
429	224
430	222
431	215
432	227
433	215
434	204
435	194
436	196
437	199
438	167
439	194
440	203
441	186
442	227
443	205
444	203
445	204
446	201
447	216
448	211
449	188
450	195
451	191
452	173
453	207
454	152
455	170
456	179
457	201
458	182
459	192
460	201
461	192
462	212
463	199
464	208
465	183
466	196
467	192
468	171
469	222
470	177
471	185
472	204
473	178
474	191
475	190
476	170
477	188
478	173
479	188
480	180
481	183
482	171
483	196
484	203
485	182
486	181
487	192
488	182
489	189
490	172
491	184
492	172
493	188
494	174
495	172
496	176
497	184
498	190
499	172
500	148
501	158
502	175
503	173
504	171
505	146
506	170
507	176
508	141
509	139
510	163
511	152
512	153
513	169
514	144
515	135
516	141
517	150
518	145
519	121
520	125
521	150
522	133
523	116
524	136
525	150
526	130
527	116
528	117
529	111
530	124
531	107
532	126
533	106
534	101
535	116
536	98
537	100
538	128
539	98
540	93
541	84
542	74
543	113
544	96
545	91
546	98
547	101
548	106
549	101
550	93
551	91
552	96
553	100
554	91
555	83
556	88
557	81
558	84
559	106
560	77
561	69
562	94
563	79
564	83
565	88
566	81
567	87
568	75
569	93
570	92
571	87
572	76
573	70
574	77
575	83
576	70
577	98
578	91
579	70
580	74
581	84
582	70
583	85
584	86
585	74
586	77
587	71
588	76
589	69
590	81
591	80
592	78
593	72
594	76
595	78
596	80
597	57
598	73
599	70
600	78
601	70
602	78
603	71
604	82
605	77
606	79
607	54
608	73
609	64
610	64
611	73
612	75
613	72
614	73
615	63
616	63
617	66
618	82
619	59
620	65
621	83
622	70
623	66
624	73
625	73
626	62
627	62
628	61
629	82
630	62
631	70
632	79
633	81
634	75
635	70
636	64
637	67
638	62
639	63
640	80
641	66
642	60
643	67
644	65
645	59
646	59
647	73
648	68
649	73
650	72
651	71
652	66
653	66
654	64
655	71
656	62
657	78
658	73
659	79
660	60
661	69
662	66
663	68
664	63
665	72
666	77
667	61
668	69
669	63
670	61
671	84
672	70
673	66
674	53
675	69
676	63
677	71
678	69
679	89
680	75
681	69
682	64
683	67
684	68
685	78
686	60
687	64
688	64
689	51
690	81
691	66
692	62
693	70
694	67
695	80
696	73
697	64
698	72
699	95
700	77
701	92
702	87
703	97
704	86
705	105
706	95
707	111
708	115
709	111
710	114
711	135
712	122
713	147
714	149
715	159
716	171
717	173
718	184
719	196
720	188
721	208
722	213
723	211
724	253
725	249
726	287
727	303
728	309
729	366
730	342
731	387
732	380
733	380
734	438
735	448
736	492
737	473
738	527
739	537
740	544
741	644
742	625
743	620
744	658
745	676
746	736
747	748
748	774
749	817
750	817
751	826
752	889
753	890
754	847
755	905
756	931
757	906
758	935
759	995
760	990
761	957
762	1015
763	1002
764	992
765	948
766	989
767	978
768	973
769	1002
770	1038
771	1022
772	1031
773	980
774	934
775	966
776	921
777	889
778	896
779	858
780	867
781	851
782	811
783	798
784	731
785	698
786	678
787	632
788	609
789	613
790	569
791	544
792	494
793	510
794	500
795	452
796	418
797	401
798	389
799	292
800	288
801	299
802	297
803	277
804	244
805	226
806	207
807	203
808	197
809	170
810	139
811	155
812	121
813	128
814	124
815	107
816	95
817	74
818	82
819	80
820	70
821	78
822	66
823	69
824	72
825	60
826	60
827	40
828	47
829	54
830	43
831	47
832	42
833	48
834	54
835	42
836	41
837	40
838	28
839	55
840	36
841	36
842	42
843	38
844	29
845	37
846	40
847	33
848	45
849	37
850	39
851	46
852	33
853	29
854	41
855	44
856	36
857	46
858	43
859	42
860	42
861	41
862	38
863	48
864	42
865	39
866	46
867	31
868	42
869	45
870	42
871	40
872	34
873	40
874	46
875	39
876	44
877	38
878	49
879	32
880	43
881	42
882	53
883	53
884	36
885	45
886	50
887	42
888	42
889	44
890	34
891	49
892	32
893	44
894	24
895	42
896	45
897	42
898	39
899	31
900	51
901	37
902	39
903	43
904	40
905	44
906	41
907	46
908	44
909	29
910	39
911	44
912	38
913	39
914	47
915	38
916	50
917	35
918	41
919	35
920	41
921	35
922	39
923	35
924	32
925	34
926	32
927	46
928	32
929	31
930	33
931	42
932	33
933	35
934	40
935	35
936	48
937	34
938	41
939	35
940	35
941	48
942	42
943	39
944	39
945	42
946	43
947	39
948	32
949	43
950	37
951	49
952	27
953	38
954	39
955	42
956	39
957	28
958	25
959	50
960	36
961	42
962	34
963	26
964	33
965	39
966	22
967	45
968	37
969	35
970	30
971	38
972	42
973	45
974	41
975	33
976	33
977	37
978	38
979	37
980	33
981	40
982	31
983	40
984	45
985	33
986	32
987	26
988	42
989	40
990	41
991	35
992	44
993	29
994	42
995	32
996	31
997	44
998	31
999	33
1000	38
1001	38
1002	31
1003	44
1004	46
1005	37
1006	40
1007	39
1008	46
1009	40
1010	39
1011	42
1012	34
1013	33
1014	43
1015	40
1016	42
1017	39
1018	46
1019	49
1020	44
1021	46
1022	38
1023	53
1024	53
1025	37
1026	51
1027	37
1028	42
1029	46
1030	42
1031	49
1032	40
1033	34
1034	39
1035	47
1036	39
1037	48
1038	44
1039	47
1040	59
1041	38
1042	45
1043	51
1044	42
1045	49
1046	38
1047	46
1048	33
1049	43
1050	37
1051	44
1052	46
1053	42
1054	49
1055	51
1056	39
1057	50
1058	30
1059	38
1060	41
1061	30
1062	42
1063	41
1064	46
1065	26
1066	51
1067	37
1068	37
1069	33
1070	40
1071	38
1072	38
1073	44
1074	44
1075	39
1076	35
1077	41
1078	52
1079	40
1080	35
1081	35
1082	46
1083	37
1084	43
1085	33
1086	38
1087	30
1088	43
1089	39
1090	39
1091	33
1092	39
1093	40
1094	39
1095	38
1096	46
1097	42
1098	42
1099	43
1100	45
1101	40
1102	37
1103	37
1104	36
1105	38
1106	26
1107	32
1108	33
1109	28
1110	30
1111	37
1112	39
1113	37
1114	41
1115	42
1116	41
1117	38
1118	43
1119	28
1120	48
1121	36
1122	50
1123	25
1124	39
1125	28
1126	40
1127	41
1128	38
1129	31
1130	31
1131	30
1132	38
1133	32
1134	32
1135	31
1136	31
1137	46
1138	44
1139	40
1140	33
1141	27
1142	30
1143	26
1144	31
1145	37
1146	31
1147	38
1148	36
1149	30
1150	35
1151	26
1152	30
1153	45
1154	26
1155	23
1156	44
1157	27
1158	33
1159	26
1160	30
1161	21
1162	37
1163	31
1164	34
1165	27
1166	34
1167	23
1168	38
1169	20
1170	29
1171	29
1172	19
1173	22
1174	36
1175	39
1176	37
1177	48
1178	27
1179	30
1180	34
1181	33
1182	27
1183	32
1184	31
1185	20
1186	38
1187	42
1188	37
1189	44
1190	24
1191	38
1192	39
1193	24
1194	23
1195	35
1196	37
1197	28
1198	36
1199	39
1200	25
1201	29
1202	37
1203	29
1204	40
1205	34
1206	29
1207	35
1208	30
1209	36
1210	27
1211	27
1212	35
1213	27
1214	36
1215	32
1216	43
1217	30
1218	33
1219	32
1220	35
1221	34
1222	28
1223	33
1224	22
1225	24
1226	35
1227	27
1228	36
1229	26
1230	32
1231	16
1232	25
1233	23
1234	28
1235	29
1236	32
1237	30
1238	27
1239	35
1240	28
1241	27
1242	32
1243	33
1244	33
1245	30
1246	24
1247	31
1248	28
1249	31
1250	23
1251	36
1252	33
1253	26
1254	26
1255	42
1256	28
1257	36
1258	21
1259	29
1260	23
1261	32
1262	30
1263	20
1264	30
1265	34
1266	23
1267	29
1268	28
1269	24
1270	25
1271	38
1272	35
1273	26
1274	29
1275	29
1276	32
1277	29
1278	36
1279	35
1280	32
1281	34
1282	23
1283	33
1284	26
1285	43
1286	23
1287	32
1288	26
1289	28
1290	29
