DeviceName	Стенд N 4
LTime	600,003696
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	1
85	1
86	1
87	4
88	1
89	3
90	3
91	8
92	5
93	9
94	6
95	7
96	5
97	2
98	12
99	15
100	10
101	17
102	14
103	15
104	12
105	26
106	13
107	20
108	10
109	22
110	19
111	9
112	14
113	11
114	16
115	10
116	13
117	9
118	19
119	14
120	16
121	13
122	5
123	20
124	14
125	13
126	17
127	18
128	20
129	16
130	17
131	9
132	23
133	19
134	10
135	13
136	19
137	21
138	10
139	17
140	17
141	13
142	17
143	16
144	28
145	23
146	19
147	20
148	14
149	19
150	25
151	30
152	32
153	24
154	32
155	25
156	32
157	29
158	24
159	35
160	30
161	28
162	26
163	33
164	34
165	40
166	41
167	42
168	45
169	60
170	61
171	80
172	66
173	58
174	58
175	67
176	67
177	38
178	43
179	48
180	45
181	44
182	50
183	43
184	50
185	42
186	54
187	43
188	42
189	52
190	43
191	50
192	44
193	43
194	38
195	42
196	41
197	36
198	42
199	31
200	37
201	38
202	38
203	38
204	49
205	43
206	38
207	48
208	38
209	36
210	44
211	47
212	41
213	34
214	37
215	34
216	31
217	34
218	40
219	37
220	43
221	46
222	40
223	33
224	44
225	32
226	47
227	29
228	32
229	43
230	29
231	41
232	36
233	31
234	40
235	40
236	39
237	34
238	41
239	46
240	42
241	40
242	35
243	37
244	34
245	35
246	37
247	32
248	43
249	26
250	29
251	43
252	35
253	33
254	29
255	34
256	38
257	30
258	31
259	41
260	22
261	36
262	38
263	31
264	36
265	29
266	40
267	32
268	41
269	37
270	25
271	26
272	49
273	26
274	36
275	43
276	31
277	34
278	35
279	35
280	32
281	30
282	23
283	41
284	24
285	26
286	27
287	34
288	27
289	34
290	36
291	37
292	19
293	27
294	33
295	32
296	24
297	22
298	26
299	43
300	28
301	27
