DeviceName	Стенд N 4
LTime	600,002987
KevPerCh	
NullEnCh	
	
Channel	Counts
1	0
2	3
3	5
4	13
5	10
6	5
7	9
8	8
9	8
10	6
11	8
12	14
13	12
14	10
15	9
16	7
17	7
18	10
19	10
20	10
21	6
22	12
23	12
24	10
25	18
26	10
27	10
28	9
29	7
30	18
31	16
32	17
33	13
34	15
35	10
36	14
37	12
38	9
39	21
40	20
41	20
42	21
43	15
44	21
45	25
46	14
47	30
48	25
49	21
50	19
51	31
52	29
53	30
54	34
55	31
56	36
57	43
58	33
59	35
60	49
61	34
62	32
63	42
64	45
65	53
66	37
67	50
68	46
69	55
70	35
71	46
72	72
73	57
74	58
75	75
76	72
77	77
78	75
79	91
80	84
81	97
82	133
83	124
84	166
85	195
86	260
87	306
88	308
89	362
90	414
91	466
92	498
93	489
94	635
95	652
96	757
97	739
98	769
99	776
100	827
101	850
102	917
103	936
104	896
105	944
106	949
107	1020
108	977
109	1018
110	1003
111	1012
112	1032
113	1111
114	1083
115	1073
116	1102
117	1120
118	1145
119	1118
120	1195
121	1128
122	1080
123	1155
124	1131
125	1156
126	1147
127	1196
128	1253
129	1214
130	1185
131	1204
132	1228
133	1222
134	1229
135	1238
136	1286
137	1267
138	1318
139	1263
140	1312
141	1336
142	1282
143	1378
144	1353
145	1369
146	1311
147	1352
148	1304
149	1374
150	1390
151	1355
152	1338
153	1370
154	1346
155	1394
156	1401
157	1406
158	1419
159	1469
160	1510
161	1403
162	1505
163	1475
164	1498
165	1527
166	1455
167	1509
168	1541
169	1530
170	1593
171	1518
172	1566
173	1590
174	1566
175	1544
176	1564
177	1566
178	1556
179	1556
180	1549
181	1508
182	1561
183	1492
184	1490
185	1530
186	1574
187	1553
188	1467
189	1520
190	1482
191	1516
192	1587
193	1538
194	1508
195	1476
196	1547
197	1522
198	1551
199	1587
200	1547
201	1534
202	1526
203	1633
204	1544
205	1515
206	1502
207	1541
208	1566
209	1560
210	1506
211	1570
212	1526
213	1508
214	1587
215	1509
216	1582
217	1599
218	1582
219	1584
220	1619
221	1630
222	1558
223	1553
224	1615
225	1624
226	1641
227	1599
228	1661
229	1581
230	1584
231	1677
232	1629
233	1659
234	1670
235	1603
236	1703
237	1713
238	1638
239	1661
240	1692
241	1660
242	1558
243	1673
244	1647
245	1631
246	1590
247	1615
248	1664
249	1630
250	1591
251	1676
252	1612
253	1587
254	1720
255	1700
256	1613
257	1725
258	1634
259	1624
260	1569
261	1622
262	1585
263	1652
264	1668
265	1725
266	1726
267	1647
268	1682
269	1639
270	1653
271	1745
272	1669
273	1660
274	1688
275	1719
276	1689
277	1762
278	1667
279	1673
280	1692
281	1634
282	1665
283	1695
284	1779
285	1668
286	1723
287	1806
288	1802
289	1675
290	1757
291	1715
292	1723
293	1732
294	1740
295	1781
296	1752
297	1793
298	1803
299	1834
300	1912
301	1847
302	1910
303	1835
304	1915
305	1889
306	2002
307	1958
308	1945
309	1983
310	1969
311	2052
312	1961
313	2051
314	2037
315	2031
316	2173
317	2063
318	2142
319	2091
320	2108
321	2129
322	2047
323	2190
324	2077
325	2279
326	2158
327	2198
328	2154
329	2138
330	2110
331	2136
332	2177
333	2110
334	2080
335	2218
336	2239
337	2103
338	2094
339	2166
340	2018
341	2077
342	1995
343	1941
344	2090
345	1954
346	1989
347	2012
348	2009
349	1978
350	1974
351	2033
352	2038
353	1976
354	1937
355	1882
356	1992
357	1943
358	1893
359	1898
360	1897
361	1931
362	1926
363	1919
364	1913
365	1927
366	1943
367	1855
368	1822
369	1823
370	1867
371	1838
372	1878
373	1829
374	1854
375	1770
376	1794
377	1788
378	1794
379	1715
380	1799
381	1766
382	1733
383	1747
384	1739
385	1744
386	1745
387	1802
388	1764
389	1682
390	1728
391	1689
392	1720
393	1757
394	1790
395	1667
396	1720
397	1688
398	1677
399	1728
400	1700
401	1692
402	1716
403	1602
404	1627
405	1685
406	1651
407	1652
408	1659
409	1612
410	1621
411	1649
412	1627
413	1682
414	1627
415	1664
416	1613
417	1636
418	1609
419	1621
420	1665
421	1602
422	1565
423	1536
424	1590
425	1521
426	1547
427	1591
428	1647
429	1533
430	1630
431	1542
432	1662
433	1599
434	1523
435	1430
436	1556
437	1527
438	1570
439	1513
440	1494
441	1539
442	1544
443	1512
444	1481
445	1544
446	1500
447	1506
448	1627
449	1567
450	1539
451	1531
452	1528
453	1546
454	1529
455	1513
456	1545
457	1562
458	1531
459	1516
460	1540
461	1566
462	1511
463	1531
464	1501
465	1477
466	1510
467	1493
468	1553
469	1506
470	1421
471	1514
472	1501
473	1523
474	1531
475	1520
476	1420
477	1504
478	1492
479	1419
480	1450
481	1438
482	1533
483	1498
484	1482
485	1524
486	1443
487	1455
488	1510
489	1415
490	1437
491	1542
492	1456
493	1460
494	1500
495	1503
496	1474
497	1485
498	1499
499	1486
500	1430
501	1501
502	1498
503	1438
504	1439
505	1355
506	1464
507	1416
508	1358
509	1443
510	1473
511	1475
512	1379
513	1460
514	1474
515	1438
516	1427
