Channel,Counts,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,0,
20,0,
21,0,
22,0,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
38,0,
39,0,
40,0,
41,0,
42,0,
43,0,
44,0,
45,0,
46,0,
47,0,
48,0,
49,0,
50,0,
51,0,
52,0,
53,0,
54,0,
55,0,
56,0,
57,0,
58,0,
59,0,
60,0,
61,0,
62,0,
63,0,
64,0,
65,2,
66,0,
67,1,
68,0,
69,0,
70,0,
71,0,
72,0,
73,0,
74,1,
75,0,
76,1,
77,0,
78,0,
79,2,
80,0,
81,3,
82,10,
83,13,
84,25,
85,53,
86,55,
87,91,
88,113,
89,130,
90,177,
91,185,
92,222,
93,251,
94,295,
95,355,
96,383,
97,417,
98,445,
99,494,
100,460,
101,479,
102,400,
103,352,
104,309,
105,211,
106,170,
107,126,
108,101,
109,69,
110,67,
111,54,
112,59,
113,56,
114,67,
115,66,
116,64,
117,91,
118,85,
119,122,
120,157,
121,154,
122,171,
123,198,
124,230,
125,268,
126,297,
127,339,
128,356,
129,431,
130,463,
131,542,
132,556,
133,661,
134,677,
135,765,
136,809,
137,1008,
138,1098,
139,1370,
140,1588,
141,2018,
142,2428,
143,2983,
144,3402,
145,3731,
146,4027,
147,4126,
148,4135,
149,3820,
150,3402,
151,2724,
152,2132,
153,1481,
154,976,
155,658,
156,359,
157,202,
158,100,
159,57,
160,40,
161,37,
162,18,
163,21,
164,26,
165,21,
166,15,
167,29,
168,23,
169,26,
170,24,
171,19,
172,22,
173,18,
174,32,
175,18,
176,21,
177,13,
178,6,
179,18,
180,13,
181,20,
182,18,
183,17,
184,25,
185,19,
186,15,
187,13,
188,13,
189,20,
190,12,
191,16,
192,14,
193,18,
194,17,
195,18,
196,10,
197,20,
198,17,
199,18,
200,17,
201,17,
202,18,
203,10,
204,14,
205,21,
206,18,
207,16,
208,20,
209,19,
210,16,
211,18,
212,19,
213,17,
214,11,
215,18,
216,17,
217,17,
218,12,
219,12,
220,11,
