Channel,Counts,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,1,
10,0,
11,0,
12,0,
13,0,
14,1,
15,0,
16,0,
17,1,
18,1,
19,1,
20,0,
21,1,
22,0,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,0,
36,0,
37,0,
38,0,
39,0,
40,0,
41,0,
42,1,
43,0,
44,0,
45,1,
46,1,
47,0,
48,0,
49,0,
50,0,
51,0,
52,1,
53,0,
54,1,
55,0,
56,0,
57,0,
58,0,
59,0,
60,0,
61,0,
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,
68,0,
69,0,
70,0,
71,0,
72,0,
73,0,
74,0,
75,0,
76,0,
77,0,
78,0,
79,0,
80,0,
81,0,
82,0,
83,0,
84,0,
85,0,
86,0,
87,0,
88,0,
89,0,
90,0,
91,4,
92,3,
93,0,
94,1,
95,13,
96,12,
97,13,
98,21,
99,22,
100,10,
101,0,
102,12,
103,9,
104,12,
105,31,
106,29,
107,30,
108,23,
109,19,
110,14,
111,12,
112,20,
113,27,
114,20,
115,37,
116,7,
117,11,
118,0,
119,11,
120,4,
121,14,
122,5,
123,27,
124,10,
125,16,
126,7,
127,28,
128,0,
129,0,
130,0,
131,0,
132,0,
133,0,
134,0,
135,0,
136,0,
137,0,
138,0,
139,0,
140,0,
141,0,
142,0,
143,0,
144,0,
145,0,
146,0,
147,1,
148,0,
149,0,
150,0,
151,0,
152,0,
153,1,
154,10,
155,11,
156,0,
157,0,
158,0,
159,12,
160,18,
161,0,
162,28,
163,0,
164,0,
165,28,
166,39,
167,50,
168,34,
169,52,
170,42,
171,31,
172,29,
173,2,
174,17,
175,6,
176,0,
177,27,
178,7,
179,2,
180,0,
181,14,
182,19,
183,0,
184,0,
185,0,
186,0,
187,0,
188,0,
189,0,
190,0,
191,0,
192,0,
193,0,
194,0,
195,0,
196,0,
197,0,
198,0,
199,0,
200,0,
201,0,
202,0,
203,0,
204,0,
205,0,
206,0,
207,1,
208,0,
209,1,
210,0,
211,0,
212,0,
213,0,
214,0,
215,0,
216,1,
217,0,
218,0,
219,0,
220,0,
221,0,
222,0,
223,0,
