Channel,Counts,,
1,0,,
2,0,,
3,0,,
4,0,,
5,1,,
6,0,,
7,0,,
8,0,,
9,0,,
10,0,,
11,0,,
12,0,,
13,0,,
14,0,,
15,0,,
16,0,,
17,0,,
18,0,,
19,2,,
20,0,,
21,0,,
22,0,,
23,1,,
24,0,,
25,1,,
26,0,,
27,0,,
28,0,,
29,0,,
30,0,,
31,1,,
32,0,,
33,0,,
34,0,,
35,0,,
36,0,,
37,0,,
38,0,,
39,0,,
40,0,,
41,0,,
42,0,,
43,0,,
44,0,,
45,1,,
46,0,,
47,0,,
48,0,,
49,0,,
50,0,,
51,0,,
52,0,,
53,0,,
54,0,,
55,0,,
56,0,,
57,0,,
58,0,,
59,1,,
60,3,,
61,1,,
62,0,,
63,1,,
64,1,,
65,0,,
66,0,,
67,0,,
68,0,,
69,0,,
70,1,,
71,1,,
72,2,,
73,2,,
74,4,,
75,5,,
76,2,,
77,0,,
78,2,,
79,2,,
80,1,,
81,1,,
82,3,,
83,7,,
84,10,,
85,11,,
86,19,,
87,39,,
88,39,,
89,55,,
90,62,,
91,86,,
92,105,,
93,127,,
94,154,,
95,213,,
96,231,,
97,304,,
98,335,,
99,414,,
100,434,,
101,539,,
102,545,,
103,521,,
104,485,,
105,496,,
106,435,,
107,365,,
108,302,,
109,278,,
110,232,,
111,209,,
112,202,,
113,192,,
114,170,,
115,141,,
116,134,,
117,126,,
118,113,,
119,115,,
120,122,,
121,91,,
122,109,,
123,120,,
124,123,,
125,131,,
126,109,,
127,108,,
128,121,,
129,127,,
130,113,,
131,117,,
132,104,,
133,112,,
134,119,,
135,130,,
136,104,90,14
137,108,81,27
138,101,86,15
139,108,77,31
140,104,77,27
141,117,89,28
142,125,73,52
143,130,69,61
144,116,85,31
145,117,93,24
146,118,76,42
147,119,86,33
148,114,101,13
149,130,95,35
150,132,95,37
151,136,113,23
152,136,128,8
153,135,89,46
154,120,85,35
155,164,97,67
156,142,116,26
157,143,90,53
158,159,106,53
159,175,94,81
160,161,104,57
161,182,111,71
162,211,98,113
163,223,110,113
164,223,124,99
165,247,105,142
166,209,102,107
167,224,109,115
168,204,107,97
169,227,95,132
170,210,98,112
171,199,100,99
172,204,111,93
173,203,110,93
