Channel,Counts,
1,0,
2,1,
3,0,
4,1,
5,1,
6,1,
7,0,
8,0,
9,0,
10,3,
11,2,
12,2,
13,0,
14,2,
15,2,
16,3,
17,0,
18,0,
19,1,
20,3,
21,1,
22,0,
23,2,
24,3,
25,0,
26,1,
27,3,
28,0,
29,3,
30,1,
31,3,
32,6,
33,2,
34,0,
35,2,
36,5,
37,3,
38,2,
39,3,
40,5,
41,6,
42,6,
43,2,
44,6,
45,4,
46,8,
47,2,
48,4,
49,5,
50,3,
51,10,
52,9,
53,4,
54,9,
55,5,
56,6,
57,6,
58,6,
59,8,
60,4,
61,9,
62,6,
63,2,
64,8,
65,0,
66,9,
67,9,
68,7,
69,4,
70,11,
71,6,
72,7,
73,1,
74,11,
75,13,
76,3,
77,14,
78,1,
79,0,
80,6,
81,12,
82,27,
83,42,
84,38,
85,44,
86,66,
87,87,
88,97,
89,119,
90,142,
91,153,
92,188,
93,219,
94,244,
95,262,
96,323,
97,370,
98,375,
99,486,
100,520,
101,592,
102,672,
103,766,
104,828,
105,1002,
106,1188,
107,1423,
108,1636,
109,1987,
110,2385,
111,2766,
112,3213,
113,3585,
114,4114,
115,4355,
116,4253,
117,4036,
118,3674,
119,3265,
120,2761,
121,2264,
122,1988,
123,1814,
124,1702,
125,1540,
126,1388,
127,1286,
128,1067,
129,884,
130,744,
131,552,
132,443,
133,296,
134,252,
135,213,
136,160,
137,166,
138,154,
139,155,
140,137,
141,176,
142,159,
143,167,
144,161,
145,134,
146,165,
147,126,
148,146,
149,144,
150,143,
151,122,
152,140,
153,180,
154,219,
155,217,
156,217,
157,265,
158,238,
159,293,
160,294,
161,325,
162,378,
163,367,
164,411,
165,437,
166,422,
167,461,
168,441,
169,446,
170,500,
171,488,
172,442,
173,453,
174,471,
175,507,
176,507,
177,518,
178,517,
179,534,
180,542,
181,586,
182,588,
183,557,
184,555,
185,563,
186,576,
187,534,
188,524,
189,497,
190,442,
191,450,
192,433,
193,396,
194,333,
195,288,
196,344,
197,307,
198,277,
199,261,
200,286,
201,283,
202,255,
203,259,
204,252,
205,334,
206,294,
207,299,
208,311,
209,347,
210,380,
211,387,
212,394,
213,436,
214,462,
215,514,
216,618,
217,726,
218,825,
219,997,
220,1108,
221,1270,
222,1480,
223,1702,
224,1794,
225,2022,
226,2150,
227,2382,
228,2506,
229,2465,
230,2485,
231,2416,
232,2350,
233,2355,
234,2092,
235,1858,
236,1617,
237,1356,
238,1211,
239,1021,
240,834,
241,698,
242,573,
243,461,
244,401,
245,372,
246,350,
247,308,
248,281,
249,256,
250,228,
251,227,
252,257,
253,203,
254,222,
255,222,
256,231,
257,204,
258,218,
259,189,
260,214,
261,201,
262,169,
263,239,
264,226,
265,210,
266,216,
267,240,
268,243,
269,226,
270,267,
271,255,
272,266,
273,258,
274,290,
275,284,
276,286,
277,326,
278,342,
279,307,
280,340,
281,327,
282,398,
283,346,
284,392,
285,393,
286,422,
287,380,
288,390,
289,391,
290,417,
291,431,
292,368,
293,407,
294,362,
295,330,
296,344,
297,329,
298,307,
299,271,
300,248,
301,295,
302,214,
303,234,
304,234,
305,190,
306,237,
307,175,
308,205,
309,196,
310,204,
311,143,
312,158,
313,189,
314,169,
315,147,
316,141,
317,184,
318,171,
319,150,
320,143,
321,143,
322,139,
323,181,
324,154,
325,138,
326,167,
