Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,4
56,1
57,4
58,2
59,1
60,5
61,3
62,6
63,4
64,5
65,12
66,4
67,7
68,13
69,11
70,10
71,10
72,13
73,14
74,18
75,12
76,21
77,17
78,14
79,25
80,29
81,26
82,15
83,26
84,24
85,18
86,16
87,23
88,24
89,25
90,25
91,19
92,17
93,27
94,22
95,30
96,22
97,23
98,20
99,26
100,26
101,38
102,29
103,34
104,32
105,24
106,27
107,24
108,33
109,39
110,36
111,41
112,36
113,39
114,41
115,32
116,45
117,43
118,54
119,46
120,56
121,40
122,58
123,44
124,52
125,55
126,56
127,55
128,54
129,69
130,67
131,69
132,68
133,76
134,71
135,67
136,90
137,81
138,86
139,77
140,77
141,89
142,73
143,69
144,85
145,93
146,76
147,86
148,101
149,95
150,95
151,113
152,128
153,89
154,85
155,97
156,116
157,90
158,106
159,94
160,104
161,111
162,98
163,110
164,124
165,105
166,102
167,109
168,107
169,95
170,98
171,100
172,111
173,110
174,90
175,92
176,100
177,87
178,104
179,89
180,101
181,101
182,87
183,110
184,119
185,119
186,101
187,103
188,108
189,110
190,99
191,97
192,101
193,95
194,104
195,103
196,98
197,103
198,104
199,115
200,99
201,113
202,106
203,98
204,106
205,92
206,96
207,97
208,90
209,90
210,90
211,89
212,108
213,100
214,113
215,87
216,82
217,101
218,97
219,87
220,88
221,88
222,81
223,97
224,83
225,79
226,82
227,85
228,96
229,85
230,96
231,86
232,76
233,80
234,78
235,92
236,93
237,73
238,76
239,68
240,67
241,83
242,77
243,90
244,75
245,85
246,74
247,65
248,80
249,82
250,82
251,79
252,74
253,83
254,73
255,74
256,74
257,94
258,73
259,67
260,64
261,76
262,94
263,54
264,64
265,69
266,70
267,61
268,55
269,57
270,58
271,74
272,65
273,59
274,56
275,53
276,65
277,45
278,54
279,42
