T0,T,I,V,W,lnT,lnW
890,920,0.423,0.127,53.721,6.82437367004309,3.98380398652273
1000,1030,0.5,0.191,95.5,6.93731408122368,4.55912624748668
1100,1140,0.584,0.269,157.096,7.03878354138854,5.05685708344793
1200,1250,0.644,0.333,214.452,7.13089883029635,5.36808593710266
1300,1350,0.748,0.448,335.104,7.20785987143248,5.81444093140733
1400,1450,0.778,0.482,374.996,7.27931883541462,5.92691535924685
1500,1550,0.821,0.532,436.772,7.34601020991329,6.07941131981194
1600,1660,0.94,0.68,639.2,7.41457288135059,6.46021739445207
1700,1770,1.043,0.84,876.12,7.47873482556788,6.77550306785599
1800,1880,1.078,0.892,961.576,7.539027055824,6.86857360506682
