V (мл);t_1 (с);t_2 (с);t_3 (с);t_4 (с);t_5 (с);t_6 (с);t_7 (с);t_8 (с);t_9 (с);t_{10} (с)
19;0.50 ;0.45 ;0.63 ;0.72 ;0.61 ;0.56 ;0.44 ;0.43 ;0.53 ;0.500
18;0.50 ;0.46 ;0.73 ;0.84 ;0.55 ;0.53 ;0.43 ;0.62 ;0.58 ;0.560
17;0.66 ;0.46 ;0.79 ;0.69 ;0.47 ;0.72 ;0.62 ;0.60 ;0.84 ;0.690
16;0.48 ;0.66 ;0.69 ;0.60 ;0.86 ;0.57 ;0.76 ;0.67 ;0.66 ;0.590
15;0.53 ;0.57 ;0.57 ;0.69 ;0.58 ;0.53 ;0.46 ;0.68 ;0.68 ;0.520
14;1.07 ;0.89 ;0.76 ;0.61 ;0.76 ;0.75 ;0.71 ;0.74 ;0.54 ;0.800
13;0.98 ;0.82 ;0.75 ;0.85 ;0.96 ;0.71 ;0.70 ;0.72 ;0.59 ;0.760
12;0.64 ;0.73 ;0.70 ;0.91 ;0.61 ;0.66 ;1.18 ;0.93 ;0.85 ;0.810
11;0.95 ;0.73 ;1.17 ;0.80 ;0.70 ;0.96 ;0.67 ;0.76 ;1.01 ;0.790
10;0.89 ;0.91 ;0.66 ;1.43 ;0.96 ;0.85 ;0.55 ;0.70 ;0.75 ;0.920
9 ;1.01 ;1.48 ;1.16 ;0.98 ;1.52 ;0.74 ;1.06 ;0.94 ;1.07 ;0.910
8 ;1.20 ;1.17 ;1.48 ;1.49 ;0.81 ;1.52 ;1.33 ;1.10 ;1.19 ;1.280
7 ;1.82 ;1.60 ;1.71 ;1.16 ;1.36 ;1.16 ;1.16 ;1.16 ;1.25 ;1.160
6 ;1.79 ;1.33 ;1.71 ;1.63 ;1.81 ;1.31 ;2.04 ;1.39 ;1.63 ;1.930
5 ;1.36 ;2.18 ;1.43 ;1.64 ;1.76 ;1.26 ;1.23 ;2.78 ;1.23 ;1.960
4 ;1.60 ;2.50 ;2.84 ;2.12 ;2.04 ;3.32 ;2.95 ;0.87 ;3.27 ;2.400
3 ;3.06 ;2.27 ;2.60 ;3.20 ;2.25 ;2.87 ;3.33 ;2.98 ;2.82 ;2.660
2 ;5.13 ;9.32 ;5.66 ;6.81 ;4.06 ;4.06 ;8.23 ;4.51 ;5.41 ;5.210
