V (мл);t_1 (с);t_2 (с);t_3 (с);t_4 (с);t_5 (с);t_6 (с);t_7 (с);t_8 (с);t_9 (с);t_{10} (с)
19;1.86;1.36;1.64;1.50;1.38;1.44;1.21;1.70;1.43;1.65
18;1.78;1.69;1.56;1.75;1.31;1.83;2.26;1.67;1.87;1.54
17;2.14;1.83;2.03;1.67;2.12;1.56;1.66;1.73;1.72;1.46
16;1.72;1.88;1.85;1.90;1.81;1.92;1.63;1.55;1.86;1.83
15;1.51;1.76;1.90;1.66;1.90;1.76;1.85;2.01;1.81;2.22
14;2.42;2.30;2.24;2.10;1.75;2.46;2.24;2.46;2.33;1.96
13;2.34;2.33;2.12;2.25;2.33;2.44;2.33;1.75;2.12;2.20
12;2.28;1.99;2.41;2.51;2.27;2.32;2.68;2.44;2.51;2.13
11;3.23;2.70;2.82;2.56;2.38;2.64;2.60;2.70;3.18;2.63
10;3.27;2.74;3.00;3.15;3.26;3.13;1.76;2.98;2.31;2.84
9;3.46;3.70;3.21;2.97;2.87;3.26;4.54;3.27;3.68;2.93
8;4.00;3.50;3.41;3.43;3.05;3.22;3.46;3.79;3.74;3.59
7;4.33;3.36;4.13;3.89;4.54;4.47;4.05;4.67;3.90;3.96
6;4.83;4.91;5.44;5.43;4.42;4.60;4.91;3.36;3.78;3.82
5;7.03;5.14;4.35;4.86;4.96;5.73;4.66;6.16;6.33;6.11
4;9.28;6.83;7.36;7.53;7.37;6.83;6.50;7.15;6.77;6.52
3;10.22;8.82;8.31;11.05;9.46;9.83;8.60;9.96;9.85;9.11
