kHz;V
0;0.02359076
0.00596046;0.01626959
0.01192093;0.0112672
0.01788139;0.00420631
0.02384186;0.00260962
0.02980232;0.00509479
0.03576279;0.00632855
0.04172325;0.00635075
0.04768372;0.0057366
0.05364418;0.0030246
0.05960464;0.00064307
0.06556511;0.00081147
0.07152557;0.00084867
0.07748604;0.00071816
0.0834465;0.000628
0.08940697;0.00078819
0.09536743;0.00093221
0.1013279;0.00114061
0.10728836;0.00171644
0.11324883;0.0022702
0.11920929;0.00226673
0.12516975;0.00207659
0.13113022;0.00118728
0.13709068;0.0006988
0.14305115;0.00123108
0.14901161;0.0012756
0.15497208;0.00111065
0.16093254;0.000689
0.16689301;0.00061722
0.17285347;0.00090466
0.17881393;0.00121752
0.1847744;0.00148775
0.19073486;0.00185522
0.19669533;0.00188446
0.20265579;0.00158634
0.20861626;0.00095903
0.21457672;0.00091337
0.22053719;0.00188267
0.22649765;0.00200937
0.23245811;0.00187432
0.23841858;0.00124035
0.24437904;0.00056126
0.25033951;0.00089941
0.25629997;0.00163952
0.26226044;0.00205811
0.2682209;0.00222623
0.27418137;0.00221165
0.28014183;0.00167496
0.28610229;0.00086405
0.29206276;0.00318054
0.29802322;0.00708672
0.30398369;0.00829102
0.30994415;0.00828825
0.31590462;0.00700285
0.32186508;0.0033583
0.32782555;0.00089613
0.33378601;0.00423981
0.33974648;0.00724027
0.34570694;0.00772903
0.3516674;0.00751047
0.35762787;0.00524658
0.36358833;0.00132943
0.3695488;0.00180616
0.37550926;0.00360617
0.38146973;0.00453493
0.38743019;0.00447574
0.39339066;0.00407837
0.39935112;0.00242175
0.40531158;0.00064172
0.41127205;0.00017978
0.41723251;0.00054715
0.42319298;0.00079625
0.42915344;0.00086444
0.43511391;0.00070229
0.44107437;0.00064562
0.44703484;0.00135044
0.4529953;0.00186938
0.45895576;0.00229423
0.46491623;0.00221027
0.47087669;0.0019805
0.47683716;0.00135846
0.48279762;0.00030126
0.48875809;0.00052471
0.49471855;0.00065326
0.50067902;0.00071893
0.50663948;0.00042085
0.51259995;0.00017657
0.51856041;0.0006225
0.52452087;0.00153245
0.53048134;0.00193615
0.5364418;0.00216168
0.54240227;0.00216528
0.54836273;0.00176442
0.5543232;0.001231
0.56028366;0.00061322
0.56624413;0.00122191
0.57220459;0.00136137
0.57816505;0.00133328
0.58412552;0.00090685
0.59008598;0.00020435
0.59604645;0.00097254
0.60200691;0.0027341
0.60796738;0.00385792
0.61392784;0.00405607
0.61988831;0.00400033
0.62584877;0.00294022
0.63180923;0.00123375
0.6377697;0.00331996
0.64373016;0.00892453
0.64969063;0.01119458
0.65565109;0.01129989
0.66161156;0.01003574
0.66757202;0.00512077
0.67353249;0.00094809
0.67949295;0.00353334
0.68545341;0.00642068
0.69141388;0.00711771
0.69737434;0.00704799
0.70333481;0.00543794
0.70929527;0.00181627
0.71525574;0.00120037
0.7212162;0.0022558
0.72717667;0.00287851
0.73313713;0.00284621
0.7390976;0.00262147
0.74505806;0.00184395
0.75101852;0.00076932
0.75697899;0.00036878
0.76293945;0.00110769
0.76889992;0.00154609
0.77486038;0.0016975
0.78082085;0.00146752
0.78678131;0.00056358
0.79274178;0.00118953
0.79870224;0.00170613
0.8046627;0.00208952
0.81062317;0.00197954
0.81658363;0.0016585
0.8225441;0.00127534
0.82850456;0.00070833
0.83446503;0.00025905
0.84042549;0.00032907
0.84638596;0.00074291
0.85234642;0.00087948
0.85830688;0.00090889
0.86426735;0.00060377
0.87022781;0.00156756
0.87618828;0.0022899
0.88214874;0.00243259
0.88810921;0.00243283
0.89406967;0.00174463
0.90003014;0.00123647
0.9059906;0.00066382
0.91195107;0.00036258
0.91791153;0.00020706
0.92387199;0.00032616
0.92983246;0.00042182
0.93579292;0.00039628
0.94175339;0.00090443
0.94771385;0.00383591
0.95367432;0.00598102
0.95963478;0.00637438
0.96559525;0.00621154
0.97155571;0.00473378
0.97751617;0.01536964
0.98347664;0.1144277
0.9894371;0.2986013
0.99539757;0.3920006
1.00135803;0.3969932
1.0073185;0.3685518
1.01327896;0.2166902
1.01923943;0.05409523
1.02519989;0.00519071
1.03116035;0.00525675
1.03712082;0.00609383
1.04308128;0.00601127
1.04904175;0.00504979
1.05500221;0.00205281
1.06096268;0.00072243
1.06692314;0.00118928
1.07288361;0.00140418
1.07884407;0.00127918
1.08480453;0.00124035
1.090765;0.00116149
1.09672546;0.00097186
1.10268593;0.00096463
1.10864639;0.00161179
1.11460686;0.0020742
1.12056732;0.00208841
1.12652779;0.00184999
1.13248825;0.00087269
1.13844872;0.0010502
1.14440918;0.00148261
1.15036964;0.00154884
1.15633011;0.00133843
1.16229057;0.00095263
1.16825104;0.00086561
1.1742115;0.00091564
1.18017197;0.0009477
1.18613243;0.00117208
1.1920929;0.00153611
1.19805336;0.0015408
1.20401382;0.00128381
1.20997429;0.00062724
1.21593475;0.00148579
1.22189522;0.00233381
1.22785568;0.00239912
1.23381615;0.00218475
1.23977661;0.00139352
1.24573708;0.00074478
1.25169754;0.00086725
1.257658;0.0011972
1.26361847;0.00136544
1.26957893;0.00152551
1.2755394;0.00152429
1.28149986;0.00122903
1.28746033;0.00092025
1.29342079;0.00453812
1.29938126;0.00832379
1.30534172;0.0090998
1.31130219;0.00906802
1.31726265;0.00706657
1.32322311;0.0030478
1.32918358;0.00069706
1.33514404;0.00236427
1.34110451;0.00364878
1.34706497;0.00374746
1.35302544;0.00349917
1.3589859;0.00191596
1.36494637;0.00058181
1.37090683;0.00214347
1.37686729;0.00401068
1.38282776;0.00474202
1.38878822;0.0047087
1.39474869;0.00409052
1.40070915;0.00202659
1.40666962;0.00051978
1.41263008;0.00041455
1.41859055;0.00041747
1.42455101;0.00028637
1.43051147;0.00033154
1.43647194;0.000435
1.4424324;0.00082385
1.44839287;0.00131296
1.45435333;0.00184754
1.4603138;0.00225823
1.46627426;0.00219135
1.47223473;0.0019939
1.47819519;0.0011324
1.48415565;0.00046275
1.49011612;0.00089976
1.49607658;0.00097787
1.50203705;0.0009076
1.50799751;0.00042016
1.51395798;0.00029451
1.51991844;0.0008974
1.52587891;0.00151897
1.53183937;0.00173384
1.53779984;0.00198496
1.5437603;0.00194491
1.54972076;0.0016154
1.55568123;0.00097924
1.56164169;0.00091656
1.56760216;0.00175792
1.57356262;0.00189452
1.57952309;0.0018187
1.58548355;0.00115003
1.59144402;0.00046587
1.59740448;0.0012641
1.60336494;0.00264884
1.60932541;0.00331587
1.61528587;0.00344175
1.62124634;0.0033182
1.6272068;0.00229336
1.63316727;0.0009525
1.63912773;0.00605862
1.6450882;0.0125924
1.65104866;0.0144136
1.65700912;0.01441494
1.66296959;0.01184313
1.66893005;0.00516586
1.67489052;0.00086141
1.68085098;0.00326769
1.68681145;0.00530679
1.69277191;0.00563623
1.69873238;0.00548042
1.70469284;0.00363684
1.71065331;0.00085564
1.71661377;0.00160441
1.72257423;0.0028548
1.7285347;0.00344891
1.73449516;0.00332417
1.74045563;0.00294556
1.74641609;0.00171756
1.75237656;0.00048657
1.75833702;0.00014902
1.76429749;0.00085084
1.77025795;0.00114912
1.77621841;0.00127037
1.78217888;0.00094559
1.78813934;0.00062568
1.79409981;0.00146627
1.80006027;0.00194179
1.80602074;0.00230954
1.8119812;0.00211931
1.81794167;0.001785
1.82390213;0.00121743
1.82986259;0.00048412
1.83582306;0.0002393
1.84178352;0.0002343
1.84774399;0.00051199
1.85370445;0.00056049
1.85966492;0.00054813
1.86562538;0.00075036
1.87158585;0.00179311
1.87754631;0.00226731
1.88350677;0.00236616
1.88946724;0.00225126
1.8954277;0.00157776
1.90138817;0.00108922
1.90734863;0.00045256
1.9133091;0.00075119
1.91926956;0.00083493
1.92523003;0.00071262
1.93119049;0.00047412
1.93715096;0.00026371
1.94311142;0.00149063
1.94907188;0.00434453
1.95503235;0.00583568
1.96099281;0.00605761
1.96695328;0.00569802
1.97291374;0.00430142
1.97887421;0.02605782
1.98483467;0.1496175
1.99079514;0.3241688
1.9967556;0.3862356
2.00271606;0.3869601
2.00867653;0.3375517
2.01463699;0.1691933
2.02059746;0.03290479
2.02655792;0.00364892
2.03251839;0.00500519
2.03847885;0.00550279
2.04443932;0.00534191
2.05039978;0.00402834
2.05636024;0.00117901
2.06232071;0.00119081
2.06828117;0.00170581
2.07424164;0.00203691
2.0802021;0.00186388
2.08616257;0.00184487
2.09212303;0.00140716
2.0980835;0.00090081
2.10404396;0.00080576
2.11000443;0.00150917
2.11596489;0.00181224
2.12192535;0.00184102
2.12788582;0.00144589
2.13384628;0.000585
2.13980675;0.00136214
2.14576721;0.00174405
2.15172768;0.00186545
2.15768814;0.00161761
2.16364861;0.00125803
2.16960907;0.00107701
2.17556953;0.00080938
2.18153;0.00064179
2.18749046;0.00084949
2.19345093;0.00122366
2.19941139;0.00126101
2.20537186;0.00109645
2.21133232;0.00060138
2.21729279;0.00178619
2.22325325;0.00241445
2.22921371;0.00246487
2.23517418;0.00221346
2.24113464;0.00137474
2.24709511;0.00084166
2.25305557;0.00069056
2.25901604;0.00062188
2.2649765;0.00058846
2.27093697;0.00071198
2.27689743;0.00078231
2.28285789;0.00073655
2.28881836;0.00165025
2.29477882;0.0060036
2.30073929;0.00917203
2.30669975;0.00958668
2.31266022;0.00933653
2.31862068;0.00657256
2.32458115;0.00259806
2.33054161;0.00095652
2.33650208;0.00067955
2.34246254;0.00050857
2.348423;0.00022901
2.35438347;0.00036759
2.36034393;0.00059894
2.3663044;0.00105577
2.37226486;0.00244172
2.37822533;0.00425787
2.38418579;0.00476245
2.39014626;0.00469301
2.39610672;0.00372519
2.40206718;0.00141564
2.40802765;0.00072979
2.41398811;0.00084739
2.41994858;0.00077632
2.42590904;0.00050006
2.43186951;0.00049873
2.43782997;0.00071442
2.44379044;0.00097939
2.4497509;0.00127623
2.45571136;0.00184981
2.46167183;0.00220143
2.46763229;0.00212966
2.47359276;0.00184096
2.47955322;0.00074289
2.48551369;0.00080984
2.49147415;0.00122765
2.49743462;0.00129652
2.50339508;0.00113775
2.50935555;0.0006348
2.51531601;0.00058378
2.52127647;0.00097538
2.52723694;0.00129275
2.5331974;0.00146629
2.53915787;0.00176803
2.54511833;0.00175703
2.5510788;0.00151033
2.55703926;0.00079826
2.56299973;0.00148204
2.56896019;0.00224262
2.57492065;0.00235536
2.58088112;0.00219718
2.58684158;0.00132557
2.59280205;0.00072193
2.59876251;0.00136322
2.60472298;0.00220937
2.61068344;0.00251108
2.61664391;0.0026157
2.62260437;0.00246168
2.62856483;0.00162425
2.6345253;0.00190393
2.64048576;0.00929407
2.64644623;0.01584417
2.65240669;0.01698083
2.65836716;0.01672269
2.66432762;0.01242941
2.67028809;0.00457864
2.67624855;0.00077288
2.68220901;0.00257664
2.68816948;0.00370952
2.69412994;0.00379178
2.70009041;0.00353231
2.70605087;0.00184953
2.71201134;0.00074624
2.7179718;0.00198981
2.72393227;0.00331682
2.72989273;0.00378644
2.7358532;0.00365031
2.74181366;0.00306595
2.74777412;0.00147519
2.75373459;0.00045127
2.75969505;0.00020949
2.76565552;0.00048826
2.77161598;0.00060382
2.77757645;0.00069698
2.78353691;0.00044506
2.78949738;0.00084322
2.79545784;0.00146219
2.8014183;0.00196235
2.80737877;0.0023054
2.81333923;0.00212388
2.8192997;0.00179608
2.82526016;0.00102715
2.83122063;0.00045607
2.83718109;0.00058528
2.84314156;0.00050851
2.84910202;0.00040713
2.85506248;0.00022897
2.86102295;0.0003564
2.86698341;0.00100627
2.87294388;0.00184515
2.87890434;0.00216533
2.88486481;0.00233162
2.89082527;0.00214955
2.89678574;0.00157129
2.9027462;0.00092376
2.90870667;0.0008009
2.91466713;0.00142569
2.92062759;0.00150185
2.92658806;0.00133074
2.93254852;0.0007661
2.93850899;0.00041411
2.94446945;0.00195174
2.95042992;0.00438734
2.95639038;0.00529372
2.96235085;0.00545115
2.96831131;0.00496393
2.97427177;0.00445139
2.98023224;0.04094801
2.9861927;0.1832771
2.99215317;0.3358006
2.99811363;0.3717088
3.0040741;0.3692642
3.01003456;0.2956201
3.01599503;0.1239808
3.02195549;0.01832788
3.02791595;0.00308659
3.03387642;0.00444517
3.03983688;0.00473284
3.04579735;0.00450457
3.05175781;0.00292493
3.05771828;0.00063784
3.06367874;0.0015009
3.06963921;0.00218504
3.07559967;0.00252682
3.08156013;0.00231719
3.0875206;0.00218728
3.09348106;0.00134768
3.09944153;0.00060672
3.10540199;0.00052106
3.11136246;0.00122664
3.11732292;0.00143392
3.12328339;0.00149316
3.12924385;0.00097972
3.13520432;0.00076713
3.14116478;0.00158831
3.14712524;0.00190266
3.15308571;0.00202033
3.15904617;0.00171986
3.16500664;0.00141413
3.1709671;0.00108521
3.17692757;0.00057032
3.18288803;0.0003033
3.1888485;0.00060264
3.19480896;0.0009325
3.20076942;0.00090135
3.20672989;0.00068362
3.21269035;0.00090959
