kHz;V
0;0.00322982
0.02384186;0.0022114
0.04768372;0.001503
0.07152557;0.00049611
0.09536743;0.00008678
0.11920929;0.00012711
0.14305115;0.00030831
0.16689301;0.00037871
0.19073486;0.00037478
0.21457672;0.00036473
0.23841858;0.00023838
0.26226044;0.00014342
0.28610229;0.00012496
0.30994415;0.00008734
0.33378601;0.00008865
0.35762787;0.00011131
0.38146973;0.00010448
0.40531158;0.0000826
0.42915344;0.00005781
0.4529953;0.00004274
0.47683716;0.00006903
0.50067902;0.00008662
0.52452087;0.00008735
0.54836273;0.00011989
0.57220459;0.00015057
0.59604645;0.00015226
0.61988831;0.00016431
0.64373016;0.0001743
0.66757202;0.00019568
0.69141388;0.00021186
0.71525574;0.00021319
0.7390976;0.00017475
0.76293945;0.00013452
0.78678131;0.00009658
0.81062317;0.00007809
0.83446503;0.00015894
0.85830688;0.00017871
0.88214874;0.0001435
0.9059906;0.00009742
0.92983246;0.00007349
0.95367432;0.00011722
0.97751617;0.00018522
1.00135803;0.0002196
1.02519989;0.00023102
1.04904175;0.00016913
1.07288361;0.00008139
1.09672546;0.0000243
1.12056732;0.0000597
1.14440918;0.00010999
1.16825104;0.00009569
1.1920929;0.0000209
1.21593475;0.00012369
1.23977661;0.00021981
1.26361847;0.00028343
1.28746033;0.00030047
1.31130219;0.00023845
1.33514404;0.00016424
1.3589859;0.0001423
1.38282776;0.00016267
1.40666962;0.0001945
1.43051147;0.00015452
1.45435333;0.000093
1.47819519;0.00010151
1.50203705;0.00013066
1.52587891;0.00017722
1.54972076;0.00019377
1.57356262;0.00018424
1.59740448;0.000184
1.62124634;0.00017893
1.6450882;0.0001726
1.66893005;0.00012687
1.69277191;0.00009209
1.71661377;0.00011631
1.74045563;0.00015327
1.76429749;0.0002244
1.78813934;0.00033696
1.8119812;0.00038579
1.83582306;0.0003902
1.85966492;0.00030132
1.88350677;0.00020193
1.90734863;0.00070174
1.93119049;0.00537565
1.95503235;0.01523986
1.97887421;0.02106874
2.00271606;0.02146671
2.02655792;0.02033648
2.05039978;0.01280871
2.07424164;0.00352308
2.0980835;0.00028321
2.12192535;0.00027084
2.14576721;0.00044097
2.16960907;0.00050734
2.19345093;0.00049152
2.21729279;0.0003968
2.24113464;0.00021706
2.2649765;0.0001649
2.28881836;0.00015692
2.31266022;0.0001273
2.33650208;0.00012736
2.36034393;0.000118
2.38418579;0.00009897
2.40802765;0.00008055
2.43186951;0.00007827
2.45571136;0.00007356
2.47955322;0.00002383
2.50339508;0.00005146
2.52723694;0.00005044
2.5510788;0.00011712
2.57492065;0.00028182
2.59876251;0.00033912
2.62260437;0.00038528
2.64644623;0.00040222
2.67028809;0.00028885
2.69412994;0.00019613
2.7179718;0.00016936
2.74181366;0.00017273
2.76565552;0.00020974
2.78949738;0.00019995
2.81333923;0.00011653
2.83718109;0.00011212
2.86102295;0.00013422
2.88486481;0.00010046
2.90870667;0.00008246
2.93254852;0.00008346
2.95639038;0.00013851
2.98023224;0.00021664
3.0040741;0.00025283
3.02791595;0.00025225
3.05175781;0.00020543
3.07559967;0.00013323
3.09944153;0.00011057
3.12328339;0.00015738
3.14712524;0.00015048
3.1709671;0.00009067
3.19480896;0.00005318
3.21865082;0.00015212
3.24249268;0.00020505
3.26633453;0.00021505
3.29017639;0.00019275
3.31401825;0.00013502
3.33786011;0.00022913
3.36170197;0.00034972
3.38554382;0.00036399
3.40938568;0.00032562
3.43322754;0.00014621
3.4570694;0.00008163
3.48091125;0.00014438
3.50475311;0.00019287
3.52859497;0.00026795
3.55243683;0.00027343
3.57627869;0.0002322
3.60012054;0.00021194
3.6239624;0.00017785
3.64780426;0.00018479
3.67164612;0.00018748
3.69548798;0.00019088
3.71932983;0.00018318
3.74317169;0.00017426
3.76701355;0.00025853
3.79085541;0.00029639
3.81469727;0.0002718
3.83853912;0.00022922
3.86238098;0.0001223
3.88622284;0.00013656
3.9100647;0.0013645
3.93390656;0.01004617
3.95774841;0.02615298
3.98159027;0.03430026
4.00543213;0.0347125
4.02927399;0.03220795
4.05311584;0.01890167
4.0769577;0.00464037
4.10079956;0.00033644
4.12464142;0.00032031
4.14848328;0.0004278
4.17232513;0.00045799
4.19616699;0.00044309
4.22000885;0.00033623
4.24385071;0.00019366
4.26769257;0.00016239
4.29153442;0.00014664
4.31537628;0.00012523
4.33921814;0.00013967
4.36306;0.00013698
4.38690186;0.00013186
4.41074371;0.00013073
4.43458557;0.00008688
4.45842743;0.00003734
4.48226929;0.00002936
4.50611115;0.00002294
4.529953;0.00007198
4.55379486;0.00027981
4.57763672;0.0005261
4.60147858;0.0005831
4.62532043;0.00057732
4.64916229;0.00052126
4.67300415;0.00032438
4.69684601;0.00019799
4.72068787;0.00013612
4.74452972;0.00013462
4.76837158;0.00022323
4.79221344;0.00024266
4.8160553;0.0001533
4.83989716;0.0000678
4.86373901;0.00009451
4.88758087;0.00008209
4.91142273;0.0000412
4.93526459;0.0000521
4.95910645;0.00004387
4.9829483;0.0000445
5.00679016;0.00012662
5.03063202;0.00015923
5.05447388;0.00014963
