kHz;V
0;0.0012991
0.02384186;0.00089351
0.04768372;0.00064198
0.07152557;0.00030257
0.09536743;0.0001644
0.11920929;0.00014567
0.14305115;0.00014602
0.16689301;0.00011651
0.19073486;0.00005829
0.21457672;0.00009005
0.23841858;0.00012895
0.26226044;0.00015346
0.28610229;0.00012763
0.30994415;0.00005892
0.33378601;0.00007389
0.35762787;0.00013794
0.38146973;0.00014164
0.40531158;0.00012919
0.42915344;0.00009139
0.4529953;0.00001388
0.47683716;0.00005765
0.50067902;0.00008686
0.52452087;0.00008553
0.54836273;0.00009801
0.57220459;0.00012901
0.59604645;0.00015138
0.61988831;0.00017232
0.64373016;0.00017431
0.66757202;0.00014565
0.69141388;0.00010689
0.71525574;0.0001131
0.7390976;0.00012494
0.76293945;0.00011369
0.78678131;0.00010097
0.81062317;0.00008458
0.83446503;0.00010298
0.85830688;0.00009877
0.88214874;0.00006842
0.9059906;0.00019985
0.92983246;0.0013865
0.95367432;0.00397668
0.97751617;0.00558247
1.00135803;0.00567784
1.02519989;0.00537979
1.04904175;0.0034454
1.07288361;0.00095113
1.09672546;0.00012044
1.12056732;0.00015786
1.14440918;0.00019281
1.16825104;0.00018277
1.1920929;0.00015256
1.21593475;0.00014565
1.23977661;0.00014592
1.26361847;0.00017191
1.28746033;0.00016893
1.31130219;0.0001454
1.33514404;0.00021389
1.3589859;0.00027562
1.38282776;0.00023717
1.40666962;0.00019152
1.43051147;0.00011398
1.45435333;0.00000862
1.47819519;0.0000706
1.50203705;0.00008668
1.52587891;0.00007495
1.54972076;0.00008224
1.57356262;0.00010762
1.59740448;0.00012178
1.62124634;0.00013948
1.6450882;0.00013692
1.66893005;0.00012131
1.69277191;0.00010991
1.71661377;0.00011625
1.74045563;0.00012203
1.76429749;0.00011583
1.78813934;0.00008549
1.8119812;0.00005787
1.83582306;0.00009715
1.85966492;0.00010918
1.88350677;0.00009476
1.90734863;0.00034034
1.93119049;0.00268413
1.95503235;0.0075939
1.97887421;0.01046276
2.00271606;0.01063967
2.02655792;0.01005433
2.05039978;0.00627806
2.07424164;0.0016621
2.0980835;0.00010182
2.12192535;0.00012776
2.14576721;0.00015331
2.16960907;0.00013184
2.19345093;0.00007259
2.21729279;0.00006784
2.24113464;0.00007566
2.2649765;0.00010005
2.28881836;0.00009202
2.31266022;0.00009869
2.33650208;0.00024598
2.36034393;0.00036372
2.38418579;0.00035238
2.40802765;0.00031043
2.43186951;0.00020523
2.45571136;0.00007659
2.47955322;0.0000927
2.50339508;0.00012542
