kHz;V
0;1.873963
0.00074506;1.290185
0.00149012;0.8713841
0.00223517;0.2698343
0.00298023;0.02373394
0.00372529;0.00011926
0.00447035;0.00006455
0.00521541;0.00016299
0.00596046;0.0000654
0.00670552;0.000129
0.00745058;0.00004265
0.00819564;0.00005801
0.0089407;0.00008849
0.00968575;0.00011583
0.01043081;0.00006998
0.01117587;0.00012839
0.01192093;0.0000211
0.01266599;0.00013327
0.01341105;0.00010017
0.0141561;0.00021767
0.01490116;0.00014809
0.01564622;0.00017761
0.01639128;0.00009966
0.01713634;0.00020067
0.01788139;0.00017887
0.01862645;0.0001951
0.01937151;0.00011976
0.02011657;0.00006402
0.02086163;0.00016908
0.02160668;0.00013738
0.02235174;0.00024528
0.0230968;0.00016381
0.02384186;0.00015526
0.02458692;0.00001198
0.02533197;0.00002964
0.02607703;0.00013251
0.02682209;0.0001209
0.02756715;0.00018288
0.02831221;0.00011985
0.02905726;0.0001728
0.02980232;0.0000791
0.03054738;0.00016097
0.03129244;0.00009718
0.0320375;0.00016294
0.03278255;0.00011856
0.03352761;0.00021096
0.03427267;0.00015843
0.03501773;0.00023282
0.03576279;0.00019676
0.03650784;0.00021628
0.0372529;0.00023103
0.03799796;0.00023394
0.03874302;0.00018765
0.03948808;0.00006086
0.04023314;0.00008854
0.04097819;0.00020961
0.04172325;0.00028306
0.04246831;0.00021156
0.04321337;0.00020871
0.04395843;0.00009612
0.04470348;0.00014754
0.04544854;0.00019347
0.0461936;0.00017024
0.04693866;0.00015454
0.04768372;0.00009688
0.04842877;0.00008819
0.04917383;0.0000141
0.04991889;0.00007428
0.05066395;0.00003247
0.05140901;0.00011454
0.05215406;0.00010925
0.05289912;0.00015958
0.05364418;0.0001375
0.05438924;0.0001528
0.0551343;0.0000946
0.05587935;0.00009654
0.05662441;0.00004293
0.05736947;0.00002356
0.05811453;0.00009002
0.05885959;0.00013413
0.05960464;0.00015982
0.0603497;0.00014441
0.06109476;0.00023547
0.06183982;0.00019239
0.06258488;0.00021051
0.06332994;0.00018292
0.06407499;0.00017667
0.06482005;0.0001132
0.06556511;0.00012195
0.06631017;0.00010418
0.06705523;0.00012331
0.06780028;0.00009932
0.06854534;0.00014268
0.0692904;0.00011462
