kHz;V
0;0.00278505
0.02384186;0.00190509
0.04768372;0.00122657
0.07152557;0.00030219
0.09536743;0.00010203
0.11920929;0.00022018
0.14305115;0.00032335
0.16689301;0.00036773
0.19073486;0.00033509
0.21457672;0.00027008
0.23841858;0.00015629
0.26226044;0.00005483
0.28610229;0.00009413
0.30994415;0.00010236
0.33378601;0.00008554
0.35762787;0.00006896
0.38146973;0.00004414
0.40531158;0.00006993
0.42915344;0.00005882
0.4529953;0.00001781
0.47683716;0.00005427
0.50067902;0.00012185
0.52452087;0.00018429
0.54836273;0.00018152
0.57220459;0.0001755
0.59604645;0.00013139
0.61988831;0.00007657
0.64373016;0.00008624
0.66757202;0.00008051
0.69141388;0.00015805
0.71525574;0.00025164
0.7390976;0.00030697
0.76293945;0.00028105
0.78678131;0.00019354
0.81062317;0.00013899
0.83446503;0.0001687
0.85830688;0.00019644
0.88214874;0.00013448
0.9059906;0.00004413
0.92983246;0.00007968
0.95367432;0.00011308
0.97751617;0.00011299
1.00135803;0.00010854
1.02519989;0.0001045
1.04904175;0.00012542
1.07288361;0.00016104
1.09672546;0.00012901
1.12056732;0.0000553
1.14440918;0.00002458
1.16825104;0.00009397
1.1920929;0.00013811
1.21593475;0.00015495
1.23977661;0.00014846
1.26361847;0.0000949
1.28746033;0.00004729
1.31130219;0.00002438
1.33514404;0.00011421
1.3589859;0.0001454
1.38282776;0.00013706
1.40666962;0.00011016
1.43051147;0.00012087
1.45435333;0.00017729
1.47819519;0.00019399
1.50203705;0.00017481
1.52587891;0.00014252
1.54972076;0.0000719
1.57356262;0.00007489
1.59740448;0.00009176
1.62124634;0.00005302
1.6450882;0.0000138
1.66893005;0.0000132
1.69277191;0.00003321
1.71661377;0.00010038
1.74045563;0.00015395
1.76429749;0.00014744
1.78813934;0.00011945
1.8119812;0.00013143
1.83582306;0.00008523
1.85966492;0.00001492
1.88350677;0.00004498
1.90734863;0.00012919
1.93119049;0.00024391
1.95503235;0.00036505
1.97887421;0.00044396
2.00271606;0.0004515
2.02655792;0.00041355
2.05039978;0.00027763
2.07424164;0.00013154
2.0980835;0.00012255
2.12192535;0.00010732
2.14576721;0.00007078
2.16960907;0.00003982
2.19345093;0.00008205
