us;mV
-8.67630206;258.9953
-8.67130206;262.3981
-8.66630206;263.5273
-8.66130206;262.3981
-8.65630206;263.5273
-8.65130206;262.3981
-8.64630206;258.9953
-8.64130206;262.3981
-8.63630206;258.9953
-8.63130206;262.3981
-8.62630206;258.9953
-8.62130206;257.8814
-8.61630206;258.9953
-8.61130206;257.8814
-8.60630206;258.9953
-8.60130206;257.8814
-8.59630206;258.9953
-8.59130206;253.3494
-8.58630206;254.4633
-8.58130206;253.3494
-8.57630206;254.4633
-8.57130206;253.3494
-8.56630206;254.4633
-8.56130206;253.3494
-8.55630206;249.9313
-8.55130206;253.3494
-8.54630206;249.9313
-8.54130206;253.3494
-8.53630206;249.9313
-8.53130206;253.3494
-8.52630206;249.9313
-8.52130206;253.3494
-8.51630206;249.9313
-8.51130206;253.3494
-8.50630206;249.9313
-8.50130206;248.8327
-8.49630206;249.9313
-8.49130206;248.8327
-8.48630206;249.9313
-8.48130206;244.3006
-8.47630206;249.9313
-8.47130206;244.3006
-8.46630206;245.3993
-8.46130206;244.3006
-8.45630206;245.3993
-8.45130206;244.3006
-8.44630206;245.3993
-8.44130206;244.3006
-8.43630206;245.3993
-8.43130206;244.3006
-8.42630206;245.3993
-8.42130206;244.3006
-8.41630206;240.8673
-8.41130206;244.3006
-8.40630206;240.8673
-8.40130206;244.3006
-8.39630206;240.8673
-8.39130206;239.7839
-8.38630206;240.8673
-8.38130206;239.7839
-8.37630206;240.8673
-8.37130206;239.7839
-8.36630206;240.8673
-8.36130206;239.7839
-8.35630206;236.3201
-8.35130206;235.2519
-8.34630206;236.3201
-8.34130206;235.2519
-8.33630206;236.3201
-8.33130206;235.2519
-8.32630206;236.3201
-8.32130206;235.2519
-8.31630206;231.7881
-8.31130206;235.2519
-8.30630206;231.7881
-8.30130206;235.2519
-8.29630206;231.7881
-8.29130206;235.2519
-8.28630206;231.7881
-8.28130206;230.7199
-8.27630206;231.7881
-8.27130206;230.7199
-8.26630206;231.7881
-8.26130206;230.7199
-8.25630206;231.7881
-8.25130206;226.2032
-8.24630206;227.2561
-8.24130206;230.7199
-8.23630206;231.7881
-8.23130206;230.7199
-8.22630206;227.2561
-8.22130206;226.2032
-8.21630206;227.2561
-8.21130206;226.2032
-8.20630206;227.2561
-8.20130206;226.2032
-8.19630206;227.2561
-8.19130206;226.2032
-8.18630206;222.7241
-8.18130206;226.2032
-8.17630206;227.2561
-8.17130206;226.2032
-8.16630206;222.7241
-8.16130206;226.2032
-8.15630206;222.7241
-8.15130206;226.2032
-8.14630206;222.7241
-8.14130206;221.6712
-8.13630206;222.7241
-8.13130206;221.6712
-8.12630206;218.1921
-8.12130206;221.6712
-8.11630206;218.1921
-8.11130206;221.6712
-8.10630206;218.1921
-8.10130206;221.6712
-8.09630206;218.1921
-8.09130206;217.1544
-8.08630206;218.1921
-8.08130206;217.1544
-8.07630206;213.6601
-8.07130206;217.1544
-8.06630206;213.6601
-8.06130206;217.1544
-8.05630206;213.6601
-8.05130206;217.1544
-8.04630206;213.6601
-8.04130206;217.1544
-8.03630206;213.6601
-8.03130206;217.1544
-8.02630206;213.6601
-8.02130206;217.1544
-8.01630206;213.6601
-8.01130206;217.1544
-8.00630206;213.6601
-8.00130206;208.1057
-7.99630206;213.6601
-7.99130206;212.6224
-7.98630206;213.6601
-7.98130206;208.1057
-7.97630206;209.1281
-7.97130206;208.1057
-7.96630206;209.1281
-7.96130206;208.1057
-7.95630206;209.1281
-7.95130206;208.1057
-7.94630206;209.1281
-7.94130206;208.1057
-7.93630206;209.1281
-7.93130206;208.1057
-7.92630206;209.1281
-7.92130206;208.1057
-7.91630206;204.5808
-7.91130206;208.1057
-7.90630206;204.5808
-7.90130206;208.1057
-7.89630206;204.5808
-7.89130206;208.1057
-7.88630206;204.5808
-7.88130206;203.5737
-7.87630206;204.5808
-7.87130206;203.5737
-7.86630206;200.0488
-7.86130206;203.5737
-7.85630206;204.5808
-7.85130206;203.5737
-7.84630206;200.0488
-7.84130206;199.057
-7.83630206;200.0488
-7.83130206;199.057
-7.82630206;195.5168
-7.82130206;199.057
-7.81630206;200.0488
-7.81130206;199.057
-7.80630206;195.5168
-7.80130206;199.057
-7.79630206;195.5168
-7.79130206;199.057
-7.78630206;195.5168
-7.78130206;199.057
-7.77630206;195.5168
-7.77130206;199.057
-7.76630206;195.5168
-7.76130206;199.057
-7.75630206;195.5168
-7.75130206;194.525
-7.74630206;195.5168
-7.74130206;199.057
-7.73630206;195.5168
-7.73130206;194.525
-7.72630206;195.5168
-7.72130206;194.525
-7.71630206;195.5168
-7.71130206;190.0082
-7.70630206;195.5168
-7.70130206;194.525
-7.69630206;195.5168
-7.69130207;190.0082
-7.68630207;190.9848
-7.68130207;190.0082
-7.67630207;190.9848
-7.67130207;190.0082
-7.66630207;190.9848
-7.66130207;190.0082
-7.65630207;190.9848
-7.65130207;190.0082
-7.64630207;190.9848
-7.64130207;190.0082
-7.63630207;190.9848
-7.63130207;190.0082
-7.62630207;190.9848
-7.62130207;190.0082
-7.61630207;186.4528
-7.61130207;190.0082
-7.60630207;186.4528
-7.60130207;185.4762
-7.59630207;186.4528
-7.59130207;185.4762
-7.58630207;186.4528
-7.58130207;185.4762
-7.57630207;186.4528
-7.57130207;185.4762
-7.56630207;186.4528
-7.56130207;180.9442
-7.55630207;181.9208
-7.55130207;185.4762
-7.54630207;181.9208
-7.54130207;180.9442
-7.53630207;181.9208
-7.53130207;180.9442
-7.52630207;181.9208
-7.52130207;180.9442
-7.51630207;177.3888
-7.51130207;180.9442
-7.50630207;177.3888
-7.50130207;180.9442
-7.49630207;177.3888
-7.49130207;180.9442
-7.48630207;177.3888
-7.48130207;180.9442
-7.47630207;177.3888
-7.47130207;180.9442
-7.46630207;177.3888
-7.46130207;180.9442
-7.45630207;177.3888
-7.45130207;180.9442
-7.44630207;177.3888
-7.44130207;176.4275
-7.43630207;177.3888
-7.43130207;176.4275
-7.42630207;177.3888
-7.42130207;180.9442
-7.41630207;172.8416
-7.41130207;176.4275
-7.40630207;172.8416
-7.40130207;176.4275
-7.39630207;172.8416
-7.39130207;171.8955
-7.38630207;172.8416
-7.38130207;171.8955
-7.37630207;172.8416
-7.37130207;171.8955
-7.36630207;172.8416
-7.36130207;171.8955
-7.35630207;172.8416
-7.35130207;171.8955
-7.34630207;172.8416
-7.34130207;171.8955
-7.33630207;172.8416
-7.33130207;171.8955
-7.32630207;168.3096
-7.32130207;171.8955
-7.31630207;168.3096
-7.31130207;171.8955
-7.30630207;168.3096
-7.30130207;167.3788
-7.29630207;168.3096
-7.29130207;167.3788
-7.28630207;168.3096
-7.28130207;167.3788
-7.27630207;168.3096
-7.27130207;167.3788
-7.26630207;163.7776
-7.26130207;167.3788
-7.25630207;168.3096
-7.25130207;162.8468
-7.24630207;163.7776
-7.24130207;162.8468
-7.23630207;163.7776
-7.23130207;162.8468
-7.22630207;163.7776
-7.22130207;162.8468
-7.21630207;163.7776
-7.21130207;162.8468
-7.20630207;163.7776
-7.20130207;162.8468
-7.19630207;163.7776
-7.19130207;162.8468
-7.18630207;159.2456
-7.18130207;162.8468
-7.17630207;159.2456
-7.17130207;162.8468
-7.16630207;159.2456
-7.16130207;162.8468
-7.15630207;159.2456
-7.15130207;162.8468
-7.14630207;159.2456
-7.14130207;158.33
-7.13630207;159.2456
-7.13130207;162.8468
-7.12630207;159.2456
-7.12130207;158.33
-7.11630207;159.2456
-7.11130207;158.33
-7.10630207;159.2456
-7.10130207;158.33
-7.09630207;159.2456
-7.09130207;158.33
-7.08630207;159.2456
-7.08130207;153.798
-7.07630207;159.2456
-7.07130207;153.798
-7.06630207;154.7136
-7.06130207;153.798
-7.05630207;154.7136
-7.05130207;153.798
-7.04630207;154.7136
-7.04130207;153.798
-7.03630207;154.7136
-7.03130207;153.798
-7.02630207;154.7136
-7.02130207;153.798
-7.01630207;154.7136
-7.01130207;153.798
-7.00630207;154.7136
-7.00130207;153.798
-6.99630207;150.1816
-6.99130207;153.798
-6.98630207;150.1816
-6.98130207;153.798
-6.97630207;150.1816
-6.97130207;153.798
-6.96630207;150.1816
-6.96130207;153.798
-6.95630207;150.1816
-6.95130207;153.798
-6.94630207;150.1816
-6.94130207;153.798
-6.93630207;150.1816
-6.93130207;149.2813
-6.92630207;150.1816
-6.92130207;149.2813
-6.91630207;150.1816
-6.91130207;149.2813
-6.90630207;150.1816
-6.90130207;149.2813
-6.89630207;145.6496
-6.89130207;149.2813
-6.88630207;145.6496
-6.88130207;144.7493
-6.87630207;145.6496
-6.87130207;144.7493
-6.86630207;145.6496
-6.86130207;144.7493
-6.85630207;141.1023
-6.85130207;144.7493
-6.84630207;145.6496
-6.84130207;144.7493
-6.83630207;145.6496
-6.83130207;144.7493
-6.82630207;145.6496
-6.82130207;144.7493
-6.81630207;141.1023
-6.81130207;144.7493
-6.80630207;145.6496
-6.80130207;144.7493
-6.79630207;141.1023
-6.79130207;144.7493
-6.78630207;141.1023
-6.78130207;144.7493
-6.77630207;141.1023
-6.77130207;144.7493
-6.76630207;141.1023
-6.76130207;144.7493
-6.75630207;141.1023
-6.75130207;144.7493
-6.74630207;141.1023
-6.74130207;144.7493
-6.73630207;141.1023
-6.73130207;144.7493
-6.72630207;141.1023
-6.72130207;135.7005
-6.71630207;141.1023
-6.71130207;135.7005
-6.70630207;141.1023
-6.70130207;135.7005
-6.69630207;136.5703
-6.69130207;135.7005
-6.68630207;136.5703
-6.68130207;135.7005
-6.67630207;136.5703
-6.67130207;135.7005
-6.66630207;136.5703
-6.66130207;135.7005
-6.65630207;136.5703
-6.65130207;135.7005
-6.64630207;136.5703
-6.64130207;135.7005
-6.63630207;136.5703
-6.63130207;135.7005
-6.62630207;136.5703
-6.62130207;135.7005
-6.61630207;136.5703
-6.61130207;135.7005
-6.60630207;136.5703
-6.60130207;135.7005
-6.59630207;132.0383
-6.59130207;135.7005
-6.58630207;132.0383
-6.58130207;135.7005
-6.57630207;132.0383
-6.57130207;135.7005
-6.56630207;132.0383
-6.56130207;131.1685
-6.55630207;132.0383
-6.55130207;135.7005
-6.54630207;132.0383
-6.54130207;135.7005
-6.53630207;132.0383
-6.53130207;131.1685
-6.52630207;127.5063
-6.52130207;131.1685
-6.51630207;132.0383
-6.51130207;131.1685
-6.50630207;132.0383
-6.50130207;131.1685
-6.49630207;132.0383
-6.49130207;131.1685
-6.48630207;132.0383
-6.48130207;126.6518
-6.47630207;127.5063
-6.47130207;126.6518
-6.46630207;127.5063
-6.46130207;126.6518
-6.45630207;127.5063
-6.45130207;126.6518
-6.44630207;127.5063
-6.44130207;131.1685
-6.43630207;127.5063
-6.43130207;126.6518
-6.42630207;122.9743
-6.42130207;126.6518
-6.41630207;122.9743
-6.41130207;126.6518
-6.40630207;122.9743
-6.40130207;126.6518
-6.39630207;122.9743
-6.39130207;126.6518
-6.38630207;122.9743
-6.38130207;126.6518
-6.37630207;122.9743
-6.37130207;126.6518
-6.36630207;122.9743
-6.36130207;126.6518
-6.35630207;122.9743
-6.35130207;122.1198
-6.34630207;122.9743
-6.34130207;126.6518
-6.33630207;122.9743
-6.33130207;122.1198
-6.32630207;122.9743
-6.32130207;122.1198
-6.31630207;122.9743
-6.31130207;122.1198
-6.30630207;122.9743
-6.30130207;117.6031
-6.29630207;122.9743
-6.29130207;122.1198
-6.28630207;118.4423
-6.28130207;117.6031
-6.27630207;118.4423
-6.27130207;117.6031
-6.26630207;122.9743
-6.26130207;117.6031
-6.25630207;118.4423
-6.25130207;117.6031
-6.24630207;118.4423
-6.24130207;117.6031
-6.23630207;118.4423
-6.23130207;117.6031
-6.22630207;118.4423
-6.22130207;117.6031
-6.21630207;113.9103
-6.21130207;117.6031
-6.20630207;118.4423
-6.20130207;117.6031
-6.19630207;113.9103
-6.19130207;117.6031
-6.18630207;113.9103
-6.18130207;117.6031
-6.17630207;113.9103
-6.17130207;117.6031
-6.16630207;113.9103
-6.16130207;113.0711
-6.15630207;113.9103
-6.15130207;113.0711
-6.14630207;113.9103
-6.14130207;117.6031
-6.13630207;113.9103
-6.13130207;113.0711
-6.12630207;113.9103
-6.12130207;113.0711
-6.11630207;113.9103
-6.11130207;113.0711
-6.10630207;113.9103
-6.10130207;113.0711
-6.09630207;113.9103
-6.09130207;113.0711
-6.08630207;109.3631
-6.08130207;113.0711
-6.07630207;109.3631
-6.07130207;108.5543
-6.06630207;109.3631
-6.06130207;108.5543
-6.05630207;109.3631
-6.05130207;113.0711
-6.04630208;113.9103
-6.04130208;122.1198
-6.03630208;122.9743
-6.03130208;126.6518
-6.02630208;127.5063
-6.02130208;131.1685
-6.01630208;136.5703
-6.01130208;135.7005
-6.00630208;141.1023
-6.00130208;144.7493
-5.99630208;150.1816
-5.99130208;149.2813
-5.98630208;150.1816
-5.98130208;153.798
-5.97630208;154.7136
-5.97130208;162.8468
-5.96630208;159.2456
-5.96130208;162.8468
-5.95630208;168.3096
-5.95130208;167.3788
-5.94630208;172.8416
-5.94130208;176.4275
-5.93630208;177.3888
-5.93130208;180.9442
-5.92630208;181.9208
-5.92130208;190.0082
-5.91630208;190.9848
-5.91130208;190.0082
-5.90630208;195.5168
-5.90130208;199.057
-5.89630208;200.0488
-5.89130208;203.5737
-5.88630208;209.1281
-5.88130208;208.1057
-5.87630208;209.1281
-5.87130208;217.1544
-5.86630208;213.6601
-5.86130208;217.1544
-5.85630208;222.7241
-5.85130208;226.2032
-5.84630208;227.2561
-5.84130208;226.2032
-5.83630208;231.7881
-5.83130208;235.2519
-5.82630208;236.3201
-5.82130208;239.7839
-5.81630208;245.3993
-5.81130208;244.3006
-5.80630208;249.9313
-5.80130208;248.8327
-5.79630208;249.9313
-5.79130208;253.3494
-5.78630208;258.9953
-5.78130208;262.3981
-5.77630208;263.5273
-5.77130208;266.9301
-5.76630208;268.0593
-5.76130208;271.4469
-5.75630208;272.6066
-5.75130208;271.4469
-5.74630208;268.0593
-5.74130208;271.4469
-5.73630208;268.0593
-5.73130208;266.9301
-5.72630208;263.5273
-5.72130208;266.9301
-5.71630208;268.0593
-5.71130208;266.9301
-5.70630208;268.0593
-5.70130208;262.3981
-5.69630208;263.5273
-5.69130208;262.3981
-5.68630208;268.0593
-5.68130208;262.3981
-5.67630208;263.5273
-5.67130208;262.3981
-5.66630208;258.9953
-5.66130208;262.3981
-5.65630208;258.9953
-5.65130208;262.3981
-5.64630208;258.9953
-5.64130208;262.3981
-5.63630208;258.9953
-5.63130208;262.3981
-5.62630208;258.9953
-5.62130208;257.8814
-5.61630208;258.9953
-5.61130208;253.3494
-5.60630208;258.9953
-5.60130208;257.8814
-5.59630208;254.4633
-5.59130208;257.8814
-5.58630208;254.4633
-5.58130208;253.3494
-5.57630208;258.9953
-5.57130208;253.3494
-5.56630208;254.4633
-5.56130208;253.3494
-5.55630208;249.9313
-5.55130208;253.3494
-5.54630208;254.4633
-5.54130208;253.3494
-5.53630208;249.9313
-5.53130208;253.3494
-5.52630208;249.9313
-5.52130208;253.3494
-5.51630208;249.9313
-5.51130208;253.3494
-5.50630208;249.9313
-5.50130208;248.8327
-5.49630208;249.9313
-5.49130208;248.8327
-5.48630208;249.9313
-5.48130208;248.8327
-5.47630208;249.9313
-5.47130208;244.3006
-5.46630208;245.3993
-5.46130208;244.3006
-5.45630208;245.3993
-5.45130208;244.3006
-5.44630208;245.3993
-5.44130208;244.3006
-5.43630208;245.3993
-5.43130208;244.3006
-5.42630208;245.3993
-5.42130208;244.3006
-5.41630208;245.3993
-5.41130208;244.3006
-5.40630208;240.8673
-5.40130208;239.7839
-5.39630208;240.8673
-5.39130208;239.7839
-5.38630208;240.8673
-5.38130208;239.7839
-5.37630208;240.8673
-5.37130208;239.7839
-5.36630208;236.3201
-5.36130208;235.2519
-5.35630208;240.8673
-5.35130208;235.2519
-5.34630208;236.3201
-5.34130208;235.2519
-5.33630208;231.7881
-5.33130208;235.2519
-5.32630208;231.7881
-5.32130208;235.2519
-5.31630208;231.7881
-5.31130208;235.2519
-5.30630208;231.7881
-5.30130208;235.2519
-5.29630208;231.7881
-5.29130208;235.2519
-5.28630208;231.7881
-5.28130208;230.7199
-5.27630208;231.7881
-5.27130208;235.2519
-5.26630208;231.7881
-5.26130208;230.7199
-5.25630208;231.7881
-5.25130208;230.7199
-5.24630208;227.2561
-5.24130208;226.2032
-5.23630208;227.2561
-5.23130208;226.2032
-5.22630208;227.2561
-5.22130208;226.2032
-5.21630208;227.2561
-5.21130208;226.2032
-5.20630208;227.2561
-5.20130208;226.2032
-5.19630208;227.2561
-5.19130208;226.2032
-5.18630208;227.2561
-5.18130208;226.2032
-5.17630208;222.7241
-5.17130208;226.2032
-5.16630208;222.7241
-5.16130208;226.2032
-5.15630208;222.7241
-5.15130208;226.2032
-5.14630208;222.7241
-5.14130208;221.6712
-5.13630208;222.7241
-5.13130208;221.6712
-5.12630208;218.1921
-5.12130208;221.6712
-5.11630208;218.1921
-5.11130208;217.1544
-5.10630208;218.1921
-5.10130208;217.1544
-5.09630208;218.1921
-5.09130208;217.1544
-5.08630208;213.6601
-5.08130208;217.1544
-5.07630208;218.1921
-5.07130208;217.1544
-5.06630208;218.1921
-5.06130208;217.1544
-5.05630208;213.6601
-5.05130208;217.1544
-5.04630208;213.6601
-5.04130208;217.1544
-5.03630208;213.6601
-5.03130208;217.1544
-5.02630208;213.6601
-5.02130208;217.1544
-5.01630208;213.6601
-5.01130208;212.6224
-5.00630208;213.6601
-5.00130208;208.1057
-4.99630208;213.6601
-4.99130208;208.1057
-4.98630208;209.1281
-4.98130208;212.6224
-4.97630208;209.1281
-4.97130208;208.1057
-4.96630208;209.1281
-4.96130208;208.1057
-4.95630208;209.1281
-4.95130208;208.1057
-4.94630208;209.1281
-4.94130208;208.1057
-4.93630208;209.1281
-4.93130208;208.1057
-4.92630208;204.5808
-4.92130208;208.1057
-4.91630208;209.1281
-4.91130208;208.1057
-4.90630208;204.5808
-4.90130208;208.1057
-4.89630208;204.5808
-4.89130208;203.5737
-4.88630208;200.0488
-4.88130208;203.5737
-4.87630208;204.5808
-4.87130208;203.5737
-4.86630208;200.0488
-4.86130208;203.5737
-4.85630208;200.0488
-4.85130208;199.057
-4.84630208;204.5808
-4.84130208;199.057
-4.83630208;200.0488
-4.83130208;199.057
-4.82630208;200.0488
-4.82130208;199.057
-4.81630208;195.5168
-4.81130208;199.057
-4.80630208;200.0488
-4.80130208;199.057
-4.79630208;200.0488
-4.79130208;199.057
-4.78630208;195.5168
-4.78130208;199.057
-4.77630208;195.5168
-4.77130208;199.057
-4.76630208;195.5168
-4.76130208;194.525
-4.75630208;195.5168
-4.75130208;199.057
-4.74630208;195.5168
-4.74130208;194.525
-4.73630208;195.5168
-4.73130208;194.525
-4.72630208;195.5168
-4.72130208;190.0082
-4.71630208;195.5168
