t (s),V (mV)
0,16.3211
2.041,16.1488
4.081,15.976
6.122,15.8049
8.162,15.6341
10.203,15.4662
12.244,15.3011
13.335,15.2114
14.895,15.0862
16.936,14.926
18.976,14.7667
21.017,14.6088
23.057,14.4523
26.123,14.2205
28.164,14.0698
30.204,13.9203
32.245,13.7715
33.337,13.6956
34.896,13.5851
36.937,13.4406
38.977,13.2975
41.018,13.1575
43.058,13.0185
45.099,12.8803
47.139,12.7453
50.206,12.5429
52.246,12.4108
53.338,12.3408
54.898,12.2401
56.938,12.1105
58.979,11.981
61.019,11.8542
63.06,11.7302
65.1,11.6067
67.141,11.4843
69.182,11.3645
71.222,11.246
73.34,11.123
74.9,11.0321
76.94,10.9149
78.981,10.8018
81.021,10.6882
83.061,10.5768
85.1,10.4637
87.139,10.3527
89.179,10.2446
91.218,10.1358
93.257,10.029
94.346,9.9743
96.935,9.8396
98.975,9.7333
101.016,9.6304
103.056,9.5279
105.097,9.4275
107.137,9.3283
109.177,9.2284
111.218,9.1321
113.258,9.0356
114.346,8.9859
115.91,8.9114
117.95,8.8171
119.991,8.7235
123.057,8.584
125.097,8.4929
127.137,8.4028
129.178,8.3131
131.218,8.2247
133.259,8.1367
134.347,8.0912
135.91,8.0258
137.951,7.94
139.991,7.8541
142.031,7.7704
144.072,7.6885
147.138,7.5625
149.178,7.4803
151.218,7.3999
153.259,7.3197
154.347,7.2781
155.91,7.2183
